Flight_ID,Flight_Number,Origin_Airport,Destination_Airport,Aircraft_ID,Scheduled_Departure,Actual_Departure,Scheduled_Arrival,Actual_Arrival,Flight_Status,Distance_KM,Delay_Minutes
FL-000031,SV-819,IST,CDG,AC-033,2025-03-22 12:44:00,2025-03-22 12:58:00,2025-03-22 21:42:00,2025-03-22 21:56:00,On-Time,6465,14
FL-000032,SV-848,RUH,DXB,AC-036,2025-10-09 00:41:00,2025-10-09 02:27:00,2025-10-09 10:10:00,2025-10-09 11:56:00,Delayed,6828,106
FL-000033,SV-437,IST,CDG,AC-008,2025-06-27 18:52:00,2025-06-27 18:52:00,2025-06-27 19:28:00,2025-06-27 19:19:00,On-Time,439,0
FL-000034,SV-978,JFK,IST,AC-019,2024-10-19 10:15:00,2024-10-19 10:22:00,2024-10-19 19:02:00,2024-10-19 19:09:00,On-Time,6334,7
FL-000035,SV-152,LHR,IST,AC-002,2025-02-10 19:03:00,2025-02-10 19:03:00,2025-02-10 19:52:00,2025-02-10 19:45:00,On-Time,594,0
FL-000036,SV-891,JED,RUH,AC-026,2025-06-04 02:40:00,2025-06-04 02:52:00,2025-06-04 10:10:00,2025-06-04 10:22:00,On-Time,5403,12
FL-000037,SV-316,JFK,JED,AC-006,2024-11-14 15:20:00,2024-11-14 15:20:00,2024-11-14 21:59:00,2024-11-14 21:50:00,On-Time,4793,0
FL-000038,SV-863,CDG,JFK,AC-019,2025-08-24 21:27:00,2025-08-24 21:27:00,2025-08-24 23:45:00,2025-08-24 23:44:00,On-Time,1661,0
FL-000039,SV-287,DXB,DMM,AC-022,2024-08-13 08:37:00,2024-08-13 08:55:00,2024-08-13 11:41:00,2024-08-13 11:59:00,Delayed,2218,18
FL-000040,SV-479,RUH,JFK,AC-035,2024-07-26 22:22:00,2024-07-26 22:22:00,2024-07-27 01:29:00,2024-07-27 01:28:00,On-Time,2248,0
FL-000041,SV-592,IST,DXB,AC-036,2025-03-16 15:24:00,2025-03-16 17:58:00,2025-03-16 18:30:00,2025-03-16 21:04:00,Delayed,2239,154
FL-000042,SV-140,LHR,CDG,AC-039,2025-06-24 04:38:00,2025-06-24 04:47:00,2025-06-24 13:17:00,2025-06-24 13:26:00,On-Time,6236,9
FL-000043,SV-256,JED,JFK,AC-008,2024-01-06 11:21:00,2024-01-06 12:05:00,2024-01-06 14:31:00,2024-01-06 15:15:00,Delayed,2284,44
FL-000044,SV-114,JED,DXB,AC-001,2024-11-02 11:21:00,2024-11-02 13:06:00,2024-11-02 19:34:00,2024-11-02 21:19:00,Delayed,5927,105
FL-000045,SV-912,IST,DXB,AC-027,2024-12-13 19:37:00,2024-12-13 19:37:00,2024-12-14 01:58:00,2024-12-14 01:50:00,On-Time,4578,0
FL-000046,SV-164,LHR,DXB,AC-048,2024-11-02 12:24:00,2024-11-02 12:24:00,2024-11-02 20:48:00,2024-11-02 20:48:00,On-Time,6058,0
FL-000047,SV-956,LHR,CDG,AC-012,2025-04-10 22:31:00,2025-04-10 22:55:00,2025-04-11 03:16:00,2025-04-11 03:40:00,Delayed,3424,24
FL-000048,SV-938,JED,RUH,AC-037,2024-07-30 18:03:00,2024-07-30 18:03:00,2024-07-31 00:34:00,2024-07-31 00:26:00,On-Time,4701,0
FL-000049,SV-620,IST,DXB,AC-028,2024-09-24 13:29:00,2024-09-24 15:30:00,2024-09-24 19:15:00,2024-09-24 21:16:00,Delayed,4162,121
FL-000050,SV-443,JED,DXB,AC-014,2024-04-14 11:24:00,2024-04-14 12:48:00,2024-04-14 17:57:00,2024-04-14 19:21:00,Delayed,4726,84
FL-000051,SV-228,RUH,DMM,AC-003,2025-11-09 17:01:00,2025-11-09 17:05:00,2025-11-09 18:00:00,2025-11-09 18:04:00,On-Time,713,4
FL-000052,SV-747,DXB,DMM,AC-019,2024-04-03 05:55:00,,2024-04-03 09:12:00,,Cancelled,2372,0
FL-000053,SV-571,JFK,CDG,AC-020,2024-05-26 18:51:00,,2024-05-26 20:57:00,,Cancelled,1520,0
FL-000054,SV-162,JFK,RUH,AC-029,2024-12-29 21:31:00,2024-12-29 21:35:00,2024-12-30 02:06:00,2024-12-30 02:10:00,On-Time,3309,4
FL-000055,SV-238,JED,DXB,AC-037,2024-08-11 01:27:00,,2024-08-11 07:26:00,,Cancelled,4316,0
FL-000056,SV-598,JED,IST,AC-034,2024-09-12 05:57:00,2024-09-12 06:31:00,2024-09-12 07:15:00,2024-09-12 07:49:00,Delayed,944,34
FL-000057,SV-692,CDG,DMM,AC-047,2025-03-25 15:37:00,2025-03-25 15:37:00,2025-03-25 17:33:00,2025-03-25 17:25:00,On-Time,1395,0
FL-000058,SV-491,DXB,JFK,AC-012,2024-08-28 07:53:00,2024-08-28 08:06:00,2024-08-28 10:33:00,2024-08-28 10:46:00,On-Time,1920,13
FL-000059,SV-774,DXB,LHR,AC-044,2025-12-26 21:43:00,2025-12-26 21:50:00,2025-12-26 23:17:00,2025-12-26 23:24:00,On-Time,1137,7
FL-000060,SV-518,DMM,CDG,AC-011,2024-04-25 11:45:00,2024-04-25 11:58:00,2024-04-25 13:45:00,2024-04-25 13:58:00,On-Time,1441,13
FL-000061,SV-388,IST,CDG,AC-029,2024-05-11 09:06:00,2024-05-11 11:02:00,2024-05-11 18:38:00,2024-05-11 20:34:00,Delayed,6865,116
FL-000062,SV-478,JED,RUH,AC-047,2025-12-02 20:26:00,2025-12-02 21:34:00,2025-12-03 00:52:00,2025-12-03 02:00:00,Delayed,3196,68
FL-000063,SV-872,JFK,IST,AC-006,2024-12-18 05:06:00,2024-12-18 05:06:00,2024-12-18 14:39:00,2024-12-18 14:31:00,On-Time,6886,0
FL-000064,SV-589,IST,JFK,AC-013,2025-07-18 03:41:00,2025-07-18 03:41:00,2025-07-18 13:04:00,2025-07-18 12:57:00,On-Time,6767,0
FL-000065,SV-330,RUH,DMM,AC-035,2025-12-11 17:33:00,2025-12-11 17:34:00,2025-12-11 21:01:00,2025-12-11 21:02:00,On-Time,2497,1
FL-000066,SV-140,DMM,JED,AC-012,2024-12-03 00:54:00,2024-12-03 00:54:00,2024-12-03 03:09:00,2024-12-03 03:08:00,On-Time,1628,0
FL-000067,SV-127,JFK,LHR,AC-005,2025-10-03 12:47:00,2025-10-03 13:06:00,2025-10-03 13:42:00,2025-10-03 14:01:00,Delayed,663,19
FL-000068,SV-234,RUH,JFK,AC-034,2025-04-25 18:45:00,2025-04-25 18:45:00,2025-04-25 21:49:00,2025-04-25 21:49:00,On-Time,2212,0
FL-000069,SV-300,DXB,IST,AC-028,2024-01-11 05:58:00,2024-01-11 05:58:00,2024-01-11 14:41:00,2024-01-11 14:35:00,On-Time,6287,0
FL-000070,SV-939,DXB,CDG,AC-012,2024-06-15 07:48:00,2024-06-15 07:48:00,2024-06-15 13:27:00,2024-06-15 13:21:00,On-Time,4070,0
FL-000071,SV-879,DMM,IST,AC-022,2025-04-16 14:30:00,2025-04-16 15:53:00,2025-04-16 19:38:00,2025-04-16 21:01:00,Delayed,3700,83
FL-000072,SV-132,DMM,CDG,AC-021,2024-02-03 01:51:00,2024-02-03 01:55:00,2024-02-03 05:51:00,2024-02-03 05:55:00,On-Time,2887,4
FL-000073,SV-147,DMM,JFK,AC-018,2024-01-19 13:49:00,2024-01-19 15:00:00,2024-01-19 15:56:00,2024-01-19 17:07:00,Delayed,1535,71
FL-000074,SV-602,DMM,DXB,AC-012,2024-06-21 20:27:00,2024-06-21 20:40:00,2024-06-21 22:19:00,2024-06-21 22:32:00,On-Time,1349,13
FL-000075,SV-506,DMM,JFK,AC-026,2024-10-14 17:49:00,2024-10-14 17:49:00,2024-10-14 19:55:00,2024-10-14 19:55:00,On-Time,1518,0
FL-000076,SV-673,DMM,JED,AC-024,2025-10-08 05:37:00,2025-10-08 05:51:00,2025-10-08 06:40:00,2025-10-08 06:54:00,On-Time,767,14
FL-000077,SV-827,LHR,DXB,AC-034,2024-05-31 21:43:00,2024-05-31 21:43:00,2024-05-31 22:20:00,2024-05-31 22:11:00,On-Time,444,0
FL-000078,SV-904,DXB,JFK,AC-011,2025-09-19 23:31:00,2025-09-19 23:31:00,2025-09-20 03:28:00,2025-09-20 03:22:00,On-Time,2850,0
FL-000079,SV-198,RUH,LHR,AC-010,2025-11-09 00:55:00,,2025-11-09 09:11:00,,Cancelled,5955,0
FL-000080,SV-783,IST,JED,AC-037,2024-05-03 22:33:00,2024-05-03 22:59:00,2024-05-03 23:22:00,2024-05-03 23:48:00,Delayed,592,26
FL-000081,SV-971,JFK,DXB,AC-015,2024-09-07 23:39:00,2024-09-07 23:39:00,2024-09-08 04:37:00,2024-09-08 04:32:00,On-Time,3582,0
FL-000082,SV-825,IST,JED,AC-010,2024-03-04 04:40:00,2024-03-04 04:52:00,2024-03-04 06:11:00,2024-03-04 06:23:00,On-Time,1097,12
FL-000083,SV-646,JED,DXB,AC-010,2025-03-11 00:52:00,2025-03-11 00:52:00,2025-03-11 09:39:00,2025-03-11 09:30:00,On-Time,6325,0
FL-000084,SV-838,JFK,CDG,AC-037,2024-02-16 05:12:00,2024-02-16 05:12:00,2024-02-16 13:17:00,2024-02-16 13:09:00,On-Time,5825,0
FL-000085,SV-712,LHR,JFK,AC-019,2025-08-26 21:29:00,2025-08-26 21:30:00,2025-08-27 04:43:00,2025-08-27 04:44:00,On-Time,5215,1
FL-000086,SV-561,LHR,CDG,AC-010,2025-04-14 03:13:00,2025-04-14 03:20:00,2025-04-14 10:41:00,2025-04-14 10:48:00,On-Time,5387,7
FL-000087,SV-742,CDG,DMM,AC-017,2025-02-11 18:52:00,2025-02-11 19:00:00,2025-02-11 20:03:00,2025-02-11 20:11:00,On-Time,863,8
FL-000088,SV-868,IST,RUH,AC-019,2025-09-16 12:12:00,2025-09-16 12:12:00,2025-09-16 19:22:00,2025-09-16 19:12:00,On-Time,5166,0
FL-000089,SV-104,DMM,LHR,AC-001,2024-12-03 21:55:00,2024-12-03 22:19:00,2024-12-04 02:04:00,2024-12-04 02:28:00,Delayed,2994,24
FL-000090,SV-317,IST,CDG,AC-029,2024-09-28 02:35:00,2024-09-28 02:41:00,2024-09-28 10:45:00,2024-09-28 10:51:00,On-Time,5882,6
FL-000091,SV-602,LHR,CDG,AC-015,2024-03-14 13:51:00,2024-03-14 13:51:00,2024-03-14 18:24:00,2024-03-14 18:14:00,On-Time,3283,0
FL-000092,SV-866,JFK,IST,AC-034,2024-04-10 10:58:00,2024-04-10 10:58:00,2024-04-10 18:42:00,2024-04-10 18:40:00,On-Time,5570,0
FL-000093,SV-497,LHR,DMM,AC-017,2025-03-28 15:23:00,2025-03-28 15:50:00,2025-03-28 23:17:00,2025-03-28 23:44:00,Delayed,5694,27
FL-000094,SV-970,JFK,JED,AC-035,2025-06-19 22:31:00,2025-06-19 22:38:00,2025-06-20 06:50:00,2025-06-20 06:57:00,On-Time,5999,7
FL-000095,SV-894,DMM,JED,AC-026,2025-08-31 19:41:00,2025-08-31 19:47:00,2025-09-01 01:25:00,2025-09-01 01:31:00,On-Time,4132,6
FL-000096,SV-492,IST,RUH,AC-016,2024-04-15 02:39:00,2024-04-15 02:39:00,2024-04-15 11:35:00,2024-04-15 11:25:00,On-Time,6438,0
FL-000097,SV-306,DMM,JED,AC-004,2025-11-29 13:46:00,2025-11-29 13:50:00,2025-11-29 20:30:00,2025-11-29 20:34:00,On-Time,4859,4
FL-000098,SV-114,IST,LHR,AC-016,2025-04-16 22:46:00,,2025-04-17 04:31:00,,Cancelled,4140,0
FL-000099,SV-957,LHR,IST,AC-047,2024-09-01 21:07:00,,2024-09-01 23:08:00,,Cancelled,1461,0
FL-000100,SV-653,DXB,IST,AC-011,2025-10-04 11:31:00,2025-10-04 12:08:00,2025-10-04 20:38:00,2025-10-04 21:15:00,Delayed,6570,37
FL-000101,SV-991,IST,DXB,AC-025,2025-08-29 18:51:00,2025-08-29 18:51:00,2025-08-29 20:01:00,2025-08-29 19:59:00,On-Time,850,0
FL-000102,SV-560,JED,RUH,AC-012,2024-11-09 00:38:00,2024-11-09 00:42:00,2024-11-09 06:23:00,2024-11-09 06:27:00,On-Time,4141,4
FL-000103,SV-790,DMM,IST,AC-008,2024-08-16 16:58:00,2024-08-16 17:01:00,2024-08-16 18:28:00,2024-08-16 18:31:00,On-Time,1091,3
FL-000104,SV-674,RUH,DMM,AC-012,2024-11-26 04:20:00,2024-11-26 04:25:00,2024-11-26 06:19:00,2024-11-26 06:24:00,On-Time,1438,5
FL-000105,SV-963,RUH,DXB,AC-046,2025-06-29 23:19:00,2025-06-29 23:19:00,2025-06-30 01:38:00,2025-06-30 01:33:00,On-Time,1679,0
FL-000106,SV-842,CDG,JED,AC-023,2025-10-20 03:03:00,2025-10-20 03:11:00,2025-10-20 07:38:00,2025-10-20 07:46:00,On-Time,3305,8
FL-000107,SV-340,DMM,CDG,AC-012,2025-01-06 02:24:00,2025-01-06 04:27:00,2025-01-06 07:32:00,2025-01-06 09:35:00,Delayed,3699,123
FL-000108,SV-663,DXB,DMM,AC-042,2025-09-12 06:20:00,2025-09-12 06:20:00,2025-09-12 07:14:00,2025-09-12 07:09:00,On-Time,652,0
FL-000109,SV-195,IST,CDG,AC-028,2025-10-12 12:32:00,2025-10-12 12:41:00,2025-10-12 13:50:00,2025-10-12 13:59:00,On-Time,936,9
FL-000110,SV-833,DXB,DMM,AC-036,2024-05-22 11:29:00,2024-05-22 11:35:00,2024-05-22 17:15:00,2024-05-22 17:21:00,On-Time,4162,6
FL-000111,SV-584,LHR,JED,AC-007,2024-07-09 18:17:00,2024-07-09 18:31:00,2024-07-10 01:32:00,2024-07-10 01:46:00,On-Time,5226,14
FL-000112,SV-506,DMM,JFK,AC-010,2024-10-13 13:53:00,2024-10-13 14:57:00,2024-10-13 19:32:00,2024-10-13 20:36:00,Delayed,4075,64
FL-000113,SV-330,IST,CDG,AC-027,2024-02-24 18:04:00,2024-02-24 18:04:00,2024-02-25 00:35:00,2024-02-25 00:28:00,On-Time,4694,0
FL-000114,SV-848,LHR,DMM,AC-046,2025-04-13 14:59:00,2025-04-13 15:12:00,2025-04-13 21:31:00,2025-04-13 21:44:00,On-Time,4704,13
FL-000115,SV-754,IST,LHR,AC-014,2025-01-14 13:29:00,2025-01-14 13:43:00,2025-01-14 20:54:00,2025-01-14 21:08:00,On-Time,5342,14
FL-000116,SV-270,JFK,RUH,AC-009,2024-04-18 19:05:00,2024-04-18 19:41:00,2024-04-18 22:01:00,2024-04-18 22:37:00,Delayed,2113,36
FL-000117,SV-640,IST,JED,AC-014,2024-12-26 20:18:00,2024-12-26 20:18:00,2024-12-27 04:17:00,2024-12-27 04:07:00,On-Time,5759,0
FL-000118,SV-135,JED,DXB,AC-029,2024-01-23 22:17:00,2024-01-23 22:17:00,2024-01-24 07:18:00,2024-01-24 07:08:00,On-Time,6495,0
FL-000119,SV-624,IST,DMM,AC-006,2025-09-30 02:27:00,2025-09-30 02:27:00,2025-09-30 04:52:00,2025-09-30 04:47:00,On-Time,1743,0
FL-000120,SV-259,IST,JFK,AC-030,2025-11-26 06:06:00,2025-11-26 06:06:00,2025-11-26 07:38:00,2025-11-26 07:30:00,On-Time,1113,0
FL-000121,SV-938,JED,CDG,AC-019,2024-11-20 10:59:00,2024-11-20 11:08:00,2024-11-20 17:09:00,2024-11-20 17:18:00,On-Time,4446,9
FL-000122,SV-798,IST,DMM,AC-042,2025-07-20 05:19:00,2025-07-20 05:43:00,2025-07-20 13:06:00,2025-07-20 13:30:00,Delayed,5613,24
FL-000123,SV-342,IST,LHR,AC-008,2025-05-28 10:52:00,2025-05-28 10:57:00,2025-05-28 17:27:00,2025-05-28 17:32:00,On-Time,4742,5
FL-000124,SV-185,JFK,IST,AC-001,2025-01-03 08:57:00,2025-01-03 09:45:00,2025-01-03 17:20:00,2025-01-03 18:08:00,Delayed,6037,48
FL-000125,SV-895,JFK,DMM,AC-005,2025-11-04 11:07:00,2025-11-04 11:17:00,2025-11-04 20:40:00,2025-11-04 20:50:00,On-Time,6881,10
FL-000126,SV-677,JFK,IST,AC-045,2024-12-09 15:08:00,2024-12-09 15:21:00,2024-12-10 00:00:00,2024-12-10 00:13:00,On-Time,6385,13
FL-000127,SV-781,JED,DMM,AC-002,2024-12-04 18:17:00,2024-12-04 18:25:00,2024-12-04 21:12:00,2024-12-04 21:20:00,On-Time,2100,8
FL-000128,SV-656,IST,LHR,AC-035,2025-09-08 20:58:00,2025-09-08 20:58:00,2025-09-09 00:19:00,2025-09-09 00:10:00,On-Time,2412,0
FL-000129,SV-673,IST,DXB,AC-049,2024-11-19 21:32:00,2024-11-19 21:32:00,2024-11-20 01:34:00,2024-11-20 01:34:00,On-Time,2913,0
FL-000130,SV-745,DMM,DXB,AC-007,2025-11-07 17:30:00,2025-11-07 17:30:00,2025-11-07 21:23:00,2025-11-07 21:17:00,On-Time,2796,0
FL-000131,SV-895,IST,LHR,AC-007,2025-10-22 16:32:00,2025-10-22 16:38:00,2025-10-22 19:51:00,2025-10-22 19:57:00,On-Time,2395,6
FL-000132,SV-127,RUH,LHR,AC-045,2025-07-16 14:33:00,,2025-07-16 16:28:00,,Cancelled,1389,0
FL-000133,SV-719,DXB,RUH,AC-040,2025-09-24 17:49:00,2025-09-24 18:12:00,2025-09-25 01:07:00,2025-09-25 01:30:00,Delayed,5262,23
FL-000134,SV-655,DXB,RUH,AC-033,2024-04-15 14:10:00,2024-04-15 15:08:00,2024-04-15 18:45:00,2024-04-15 19:43:00,Delayed,3302,58
FL-000135,SV-439,LHR,RUH,AC-016,2024-12-25 01:39:00,,2024-12-25 04:06:00,,Cancelled,1772,0
FL-000136,SV-897,RUH,CDG,AC-028,2024-04-17 01:06:00,2024-04-17 02:19:00,2024-04-17 01:56:00,2024-04-17 03:09:00,Delayed,611,73
FL-000137,SV-430,LHR,CDG,AC-038,2024-01-04 00:49:00,2024-01-04 00:56:00,2024-01-04 06:00:00,2024-01-04 06:07:00,On-Time,3734,7
FL-000138,SV-739,JED,IST,AC-004,2025-12-09 23:20:00,2025-12-09 23:20:00,2025-12-10 00:09:00,2025-12-10 00:01:00,On-Time,594,0
FL-000139,SV-605,IST,JFK,AC-010,2024-12-06 23:29:00,2024-12-06 23:37:00,2024-12-07 06:17:00,2024-12-07 06:25:00,On-Time,4897,8
FL-000140,SV-447,DMM,JFK,AC-033,2024-08-04 19:26:00,2024-08-04 19:27:00,2024-08-05 05:05:00,2024-08-05 05:06:00,On-Time,6954,1
FL-000141,SV-572,IST,JED,AC-001,2025-05-28 21:39:00,2025-05-28 22:13:00,2025-05-29 06:18:00,2025-05-29 06:52:00,Delayed,6229,34
FL-000142,SV-330,RUH,DXB,AC-036,2024-07-05 08:19:00,2024-07-05 09:09:00,2024-07-05 09:43:00,2024-07-05 10:33:00,Delayed,1009,50
FL-000143,SV-289,JFK,LHR,AC-018,2024-04-20 20:10:00,2024-04-20 20:12:00,2024-04-21 04:13:00,2024-04-21 04:15:00,On-Time,5800,2
FL-000144,SV-324,JFK,RUH,AC-039,2024-12-23 16:45:00,2024-12-23 16:46:00,2024-12-23 22:43:00,2024-12-23 22:44:00,On-Time,4301,1
FL-000145,SV-484,JFK,DMM,AC-027,2025-12-10 23:42:00,2025-12-10 23:49:00,2025-12-11 03:37:00,2025-12-11 03:44:00,On-Time,2823,7
FL-000146,SV-476,CDG,IST,AC-030,2024-07-12 06:39:00,2024-07-12 07:43:00,2024-07-12 14:00:00,2024-07-12 15:04:00,Delayed,5294,64
FL-000147,SV-382,CDG,DMM,AC-011,2025-09-10 20:00:00,2025-09-10 20:12:00,2025-09-11 03:02:00,2025-09-11 03:14:00,On-Time,5072,12
FL-000148,SV-732,CDG,DMM,AC-024,2025-05-13 14:45:00,2025-05-13 14:53:00,2025-05-13 15:36:00,2025-05-13 15:44:00,On-Time,613,8
FL-000149,SV-727,DXB,CDG,AC-019,2024-11-02 00:53:00,2024-11-02 00:53:00,2024-11-02 04:18:00,2024-11-02 04:14:00,On-Time,2462,0
FL-000150,SV-844,RUH,LHR,AC-001,2024-11-09 18:18:00,2024-11-09 18:29:00,2024-11-09 23:39:00,2024-11-09 23:50:00,On-Time,3863,11
FL-000151,SV-358,CDG,JED,AC-024,2025-08-29 03:50:00,2025-08-29 03:50:00,2025-08-29 12:42:00,2025-08-29 12:37:00,On-Time,6390,0
FL-000152,SV-458,IST,LHR,AC-019,2025-01-05 21:35:00,2025-01-05 22:47:00,2025-01-06 00:06:00,2025-01-06 01:18:00,Delayed,1820,72
FL-000153,SV-809,CDG,LHR,AC-032,2024-10-06 16:38:00,2024-10-06 18:02:00,2024-10-06 23:26:00,2024-10-07 00:50:00,Delayed,4902,84
FL-000154,SV-555,DMM,DXB,AC-020,2025-08-25 09:09:00,2025-08-25 09:19:00,2025-08-25 17:46:00,2025-08-25 17:56:00,On-Time,6213,10
FL-000155,SV-510,DMM,LHR,AC-037,2025-04-24 11:03:00,2025-04-24 11:03:00,2025-04-24 12:45:00,2025-04-24 12:41:00,On-Time,1229,0
FL-000156,SV-748,JFK,DXB,AC-027,2025-06-07 15:10:00,2025-06-07 15:24:00,2025-06-07 15:57:00,2025-06-07 16:11:00,On-Time,572,14
FL-000157,SV-417,RUH,LHR,AC-031,2024-10-13 03:40:00,2024-10-13 03:48:00,2024-10-13 05:10:00,2024-10-13 05:18:00,On-Time,1089,8
FL-000158,SV-776,JFK,JED,AC-001,2025-07-29 11:59:00,2025-07-29 11:59:00,2025-07-29 13:35:00,2025-07-29 13:26:00,On-Time,1157,0
FL-000159,SV-324,LHR,JED,AC-008,2025-09-02 17:19:00,2025-09-02 17:19:00,2025-09-02 23:12:00,2025-09-02 23:04:00,On-Time,4238,0
FL-000160,SV-918,LHR,RUH,AC-005,2025-10-20 20:42:00,2025-10-20 20:52:00,2025-10-21 03:38:00,2025-10-21 03:48:00,On-Time,4997,10
FL-000161,SV-333,RUH,LHR,AC-024,2025-05-18 19:40:00,2025-05-18 19:54:00,2025-05-19 01:50:00,2025-05-19 02:04:00,On-Time,4448,14
FL-000162,SV-783,LHR,CDG,AC-042,2025-03-11 23:42:00,2025-03-11 23:54:00,2025-03-12 06:42:00,2025-03-12 06:54:00,On-Time,5041,12
FL-000163,SV-763,JED,LHR,AC-038,2024-05-27 23:31:00,2024-05-28 00:38:00,2024-05-28 07:31:00,2024-05-28 08:38:00,Delayed,5763,67
FL-000164,SV-926,JED,IST,AC-022,2025-11-14 11:42:00,2025-11-14 12:52:00,2025-11-14 15:01:00,2025-11-14 16:11:00,Delayed,2388,70
