Weather_ID,Airport_Code,Date,Temperature_C,Wind_Speed_Kts,Visibility_KM,Condition
WX-0000115,JED,2024-04-24,30,12,8.1,Clear
WX-0000116,JED,2024-04-25,12,8,9.3,Clear
WX-0000117,JED,2024-04-26,41,6,9.9,Clear
WX-0000118,JED,2024-04-27,21,12,8.9,Clear
WX-0000119,JED,2024-04-28,17,2,8.8,Clear
WX-0000120,JED,2024-04-29,17,13,1.6,Fog
WX-0000121,JED,2024-04-30,39,9,9.7,Clear
WX-0000122,JED,2024-05-01,27,14,9.8,Clear
WX-0000123,JED,2024-05-02,20,8,9.3,Clear
WX-0000124,JED,2024-05-03,32,12,9.1,Clear
WX-0000125,JED,2024-05-04,26,34,8.2,Rain
WX-0000126,JED,2024-05-05,23,12,8.9,Cloudy
WX-0000127,JED,2024-05-06,23,9,8.8,Clear
WX-0000128,JED,2024-05-07,37,9,9.1,Clear
WX-0000129,JED,2024-05-08,34,13,8.6,Clear
WX-0000130,JED,2024-05-09,13,10,8.8,Clear
WX-0000131,JED,2024-05-10,16,10,10.0,Clear
WX-0000132,JED,2024-05-11,32,14,10.0,Cloudy
WX-0000133,JED,2024-05-12,28,12,8.8,Clear
WX-0000134,JED,2024-05-13,36,13,9.4,Clear
WX-0000135,JED,2024-05-14,19,14,9.0,Rain
WX-0000136,JED,2024-05-15,39,26,3.6,Storm
WX-0000137,JED,2024-05-16,37,7,9.6,Clear
WX-0000138,JED,2024-05-17,11,13,9.9,Clear
WX-0000139,JED,2024-05-18,32,10,9.5,Clear
WX-0000140,JED,2024-05-19,28,10,8.5,Clear
WX-0000141,JED,2024-05-20,30,4,8.4,Cloudy
WX-0000142,JED,2024-05-21,23,4,9.5,Cloudy
WX-0000143,JED,2024-05-22,38,7,8.5,Clear
WX-0000144,JED,2024-05-23,31,12,9.7,Clear
WX-0000145,JED,2024-05-24,36,6,9.2,Clear
WX-0000146,JED,2024-05-25,25,3,10.0,Clear
WX-0000147,JED,2024-05-26,41,2,2.2,Fog
WX-0000148,JED,2024-05-27,21,8,8.0,Clear
WX-0000149,JED,2024-05-28,16,14,8.3,Cloudy
WX-0000150,JED,2024-05-29,19,10,8.5,Cloudy
WX-0000151,JED,2024-05-30,15,7,8.5,Clear
WX-0000152,JED,2024-05-31,38,3,8.8,Clear
WX-0000153,JED,2024-06-01,31,8,9.7,Clear
WX-0000154,JED,2024-06-02,26,9,9.1,Cloudy
WX-0000155,JED,2024-06-03,35,5,9.7,Clear
WX-0000156,JED,2024-06-04,36,10,8.2,Clear
WX-0000157,JED,2024-06-05,12,4,9.4,Cloudy
WX-0000158,JED,2024-06-06,41,9,9.2,Clear
WX-0000159,JED,2024-06-07,35,2,2.1,Fog
WX-0000160,JED,2024-06-08,28,13,9.6,Cloudy
WX-0000161,JED,2024-06-09,15,4,8.2,Clear
WX-0000162,JED,2024-06-10,15,9,9.8,Clear
WX-0000163,JED,2024-06-11,41,5,8.1,Clear
WX-0000164,JED,2024-06-12,25,2,9.7,Clear
WX-0000165,JED,2024-06-13,33,8,8.5,Clear
WX-0000166,JED,2024-06-14,14,14,8.7,Clear
WX-0000167,JED,2024-06-15,35,20,9.1,Rain
WX-0000168,JED,2024-06-16,18,4,9.7,Clear
WX-0000169,JED,2024-06-17,40,3,8.4,Cloudy
WX-0000170,JED,2024-06-18,35,3,8.8,Clear
WX-0000171,JED,2024-06-19,20,39,3.3,Storm
WX-0000172,JED,2024-06-20,41,14,9.2,Clear
WX-0000173,JED,2024-06-21,13,7,9.3,Clear
WX-0000174,JED,2024-06-22,23,10,9.9,Clear
WX-0000175,JED,2024-06-23,10,7,8.1,Clear
WX-0000176,JED,2024-06-24,17,14,10.0,Clear
WX-0000177,JED,2024-06-25,34,8,10.0,Clear
WX-0000178,JED,2024-06-26,12,13,9.9,Cloudy
WX-0000179,JED,2024-06-27,25,5,8.6,Clear
WX-0000180,JED,2024-06-28,21,14,9.3,Cloudy
WX-0000181,JED,2024-06-29,38,9,8.9,Cloudy
WX-0000182,JED,2024-06-30,30,14,9.5,Clear
WX-0000183,JED,2024-07-01,23,5,8.3,Clear
WX-0000184,JED,2024-07-02,23,3,8.6,Clear
WX-0000185,JED,2024-07-03,33,24,8.6,Rain
WX-0000186,JED,2024-07-04,10,2,8.6,Clear
WX-0000187,JED,2024-07-05,26,11,9.5,Clear
WX-0000188,JED,2024-07-06,32,42,9.1,Rain
WX-0000189,JED,2024-07-07,21,8,8.6,Cloudy
WX-0000190,JED,2024-07-08,33,4,9.2,Clear
WX-0000191,JED,2024-07-09,22,10,9.1,Clear
WX-0000192,JED,2024-07-10,35,5,8.3,Cloudy
WX-0000193,JED,2024-07-11,16,27,8.5,Rain
WX-0000194,JED,2024-07-12,30,4,9.7,Clear
WX-0000195,JED,2024-07-13,17,3,9.0,Clear
WX-0000196,JED,2024-07-14,23,8,1.9,Fog
WX-0000197,JED,2024-07-15,18,14,9.0,Clear
WX-0000198,JED,2024-07-16,11,3,8.9,Cloudy
WX-0000199,JED,2024-07-17,26,9,8.2,Clear
WX-0000200,JED,2024-07-18,14,12,2.9,Fog
WX-0000201,JED,2024-07-19,14,11,9.5,Rain
WX-0000202,JED,2024-07-20,17,11,9.5,Clear
WX-0000203,JED,2024-07-21,34,12,9.5,Cloudy
WX-0000204,JED,2024-07-22,38,12,9.9,Clear
WX-0000205,JED,2024-07-23,30,14,8.4,Clear
WX-0000206,JED,2024-07-24,27,12,8.7,Clear
WX-0000207,JED,2024-07-25,33,10,8.1,Clear
WX-0000208,JED,2024-07-26,36,14,10.0,Clear
WX-0000209,JED,2024-07-27,18,6,1.7,Fog
WX-0000210,JED,2024-07-28,10,9,8.1,Clear
WX-0000211,JED,2024-07-29,18,23,8.2,Rain
WX-0000212,JED,2024-07-30,41,10,9.9,Clear
WX-0000213,JED,2024-07-31,18,5,9.7,Clear
WX-0000214,JED,2024-08-01,29,8,8.9,Clear
WX-0000215,JED,2024-08-02,28,13,9.7,Clear
WX-0000216,JED,2024-08-03,33,10,8.6,Clear
WX-0000217,JED,2024-08-04,30,43,9.3,Rain
WX-0000218,JED,2024-08-05,24,9,9.5,Clear
WX-0000219,JED,2024-08-06,40,7,8.8,Clear
WX-0000220,JED,2024-08-07,13,11,9.6,Clear
WX-0000221,JED,2024-08-08,34,4,8.4,Cloudy
WX-0000222,JED,2024-08-09,18,2,9.7,Clear
WX-0000223,JED,2024-08-10,26,5,9.7,Clear
WX-0000224,JED,2024-08-11,39,2,9.5,Clear
WX-0000225,JED,2024-08-12,34,6,9.1,Clear
WX-0000226,JED,2024-08-13,28,26,9.1,Rain
WX-0000227,JED,2024-08-14,32,3,8.9,Clear
WX-0000228,JED,2024-08-15,37,11,9.1,Clear
WX-0000229,JED,2024-08-16,13,7,9.7,Clear
WX-0000230,JED,2024-08-17,26,14,8.4,Clear
WX-0000231,JED,2024-08-18,10,13,9.0,Clear
WX-0000232,JED,2024-08-19,34,6,1.7,Fog
WX-0000233,JED,2024-08-20,14,8,8.9,Clear
WX-0000234,JED,2024-08-21,10,3,8.1,Clear
WX-0000235,JED,2024-08-22,31,2,9.5,Clear
WX-0000236,JED,2024-08-23,19,12,8.1,Cloudy
WX-0000237,JED,2024-08-24,33,21,8.4,Rain
WX-0000238,JED,2024-08-25,25,5,9.3,Clear
WX-0000239,JED,2024-08-26,28,3,9.7,Clear
WX-0000240,JED,2024-08-27,16,2,8.5,Clear
WX-0000241,JED,2024-08-28,34,7,9.8,Cloudy
WX-0000242,JED,2024-08-29,16,14,9.0,Cloudy
WX-0000243,JED,2024-08-30,35,6,9.5,Clear
WX-0000244,JED,2024-08-31,35,14,8.6,Cloudy
WX-0000245,JED,2024-09-01,35,6,8.7,Clear
WX-0000246,JED,2024-09-02,25,7,1.7,Fog
WX-0000247,JED,2024-09-03,29,4,8.8,Clear
WX-0000248,JED,2024-09-04,37,8,8.4,Clear
WX-0000249,JED,2024-09-05,14,7,8.0,Clear
WX-0000250,JED,2024-09-06,30,2,9.0,Cloudy
WX-0000251,JED,2024-09-07,30,10,9.9,Clear
WX-0000252,JED,2024-09-08,34,2,8.8,Clear
WX-0000253,JED,2024-09-09,27,10,8.8,Cloudy
WX-0000254,JED,2024-09-10,22,4,8.2,Clear
WX-0000255,JED,2024-09-11,41,6,8.7,Clear
WX-0000256,JED,2024-09-12,41,5,8.9,Clear
WX-0000257,JED,2024-09-13,23,39,9.6,Rain
WX-0000258,JED,2024-09-14,41,41,1.9,Storm
WX-0000259,JED,2024-09-15,17,2,8.9,Cloudy
WX-0000260,JED,2024-09-16,19,42,1.1,Storm
WX-0000261,JED,2024-09-17,16,5,1.5,Storm
WX-0000262,JED,2024-09-18,25,44,1.3,Storm
WX-0000263,JED,2024-09-19,13,14,9.8,Clear
WX-0000264,JED,2024-09-20,27,4,8.8,Clear
WX-0000265,JED,2024-09-21,27,11,8.6,Clear
WX-0000266,JED,2024-09-22,11,10,9.2,Clear
WX-0000267,JED,2024-09-23,11,14,8.7,Clear
WX-0000268,JED,2024-09-24,40,12,9.7,Clear
WX-0000269,JED,2024-09-25,41,6,8.2,Clear
WX-0000270,JED,2024-09-26,39,29,2.9,Storm
WX-0000271,JED,2024-09-27,38,13,9.0,Clear
WX-0000272,JED,2024-09-28,19,14,8.2,Clear
WX-0000273,JED,2024-09-29,14,10,8.3,Clear
WX-0000274,JED,2024-09-30,16,6,8.2,Clear
WX-0000275,JED,2024-10-01,11,9,8.9,Clear
WX-0000276,JED,2024-10-02,29,10,8.1,Clear
WX-0000277,JED,2024-10-03,39,4,9.2,Clear
WX-0000278,JED,2024-10-04,30,6,9.4,Clear
WX-0000279,JED,2024-10-05,12,13,8.5,Clear
WX-0000280,JED,2024-10-06,31,6,9.1,Clear
WX-0000281,JED,2024-10-07,15,9,9.7,Clear
WX-0000282,JED,2024-10-08,23,13,8.6,Clear
WX-0000283,JED,2024-10-09,37,5,8.3,Rain
WX-0000284,JED,2024-10-10,36,9,8.8,Clear
WX-0000285,JED,2024-10-11,37,9,9.1,Cloudy
WX-0000286,JED,2024-10-12,31,7,9.4,Clear
WX-0000287,JED,2024-10-13,10,7,9.4,Cloudy
WX-0000288,JED,2024-10-14,23,42,8.3,Rain
WX-0000289,JED,2024-10-15,31,7,8.0,Clear
WX-0000290,JED,2024-10-16,33,10,8.8,Clear
WX-0000291,JED,2024-10-17,19,8,8.9,Cloudy
WX-0000292,JED,2024-10-18,28,7,9.5,Clear
WX-0000293,JED,2024-10-19,41,7,8.9,Cloudy
WX-0000294,JED,2024-10-20,37,17,8.3,Rain
WX-0000295,JED,2024-10-21,22,14,9.5,Cloudy
WX-0000296,JED,2024-10-22,31,13,8.4,Cloudy
WX-0000297,JED,2024-10-23,22,7,9.8,Clear
WX-0000298,JED,2024-10-24,29,7,8.7,Clear
WX-0000299,JED,2024-10-25,22,6,9.5,Cloudy
WX-0000300,JED,2024-10-26,11,13,8.6,Clear
WX-0000301,JED,2024-10-27,35,4,8.1,Clear
WX-0000302,JED,2024-10-28,19,9,9.4,Clear
WX-0000303,JED,2024-10-29,13,11,9.9,Clear
WX-0000304,JED,2024-10-30,40,7,9.6,Cloudy
WX-0000305,JED,2024-10-31,38,2,9.4,Clear
WX-0000306,JED,2024-11-01,18,14,1.2,Fog
WX-0000307,JED,2024-11-02,13,44,8.9,Rain
WX-0000308,JED,2024-11-03,22,10,8.2,Clear
WX-0000309,JED,2024-11-04,20,10,8.8,Rain
WX-0000310,JED,2024-11-05,12,10,9.5,Cloudy
WX-0000311,JED,2024-11-06,38,12,9.2,Clear
WX-0000312,JED,2024-11-07,14,11,8.3,Clear
WX-0000313,JED,2024-11-08,38,2,8.7,Clear
WX-0000314,JED,2024-11-09,24,11,8.9,Cloudy
WX-0000315,JED,2024-11-10,12,13,8.6,Cloudy
WX-0000316,JED,2024-11-11,19,5,9.1,Cloudy
WX-0000317,JED,2024-11-12,21,3,8.1,Clear
WX-0000318,JED,2024-11-13,30,2,8.0,Clear
WX-0000319,JED,2024-11-14,13,6,8.0,Clear
WX-0000320,JED,2024-11-15,24,4,8.2,Clear
WX-0000321,JED,2024-11-16,25,9,1.5,Fog
WX-0000322,JED,2024-11-17,19,4,9.6,Clear
WX-0000323,JED,2024-11-18,10,5,10.0,Clear
WX-0000324,JED,2024-11-19,29,8,9.9,Cloudy
WX-0000325,JED,2024-11-20,26,7,8.3,Clear
WX-0000326,JED,2024-11-21,28,3,9.6,Clear
WX-0000327,JED,2024-11-22,35,12,9.4,Cloudy
WX-0000328,JED,2024-11-23,32,6,9.9,Clear
WX-0000329,JED,2024-11-24,26,19,8.8,Rain
WX-0000330,JED,2024-11-25,26,11,9.1,Clear
WX-0000331,JED,2024-11-26,20,7,9.6,Cloudy
WX-0000332,JED,2024-11-27,34,5,9.5,Cloudy
WX-0000333,JED,2024-11-28,10,4,9.5,Cloudy
WX-0000334,JED,2024-11-29,38,4,8.3,Clear
WX-0000335,JED,2024-11-30,27,7,9.5,Clear
WX-0000336,JED,2024-12-01,18,14,9.0,Clear
WX-0000337,JED,2024-12-02,36,2,9.3,Cloudy
WX-0000338,JED,2024-12-03,39,13,9.2,Clear
WX-0000339,JED,2024-12-04,34,14,9.9,Clear
WX-0000340,JED,2024-12-05,10,5,8.8,Clear
WX-0000341,JED,2024-12-06,14,6,8.3,Clear
WX-0000342,JED,2024-12-07,36,14,8.1,Clear
WX-0000343,JED,2024-12-08,38,8,8.2,Cloudy
WX-0000344,JED,2024-12-09,40,6,9.6,Clear
WX-0000345,JED,2024-12-10,17,9,3.1,Fog
WX-0000346,JED,2024-12-11,35,14,3.4,Fog
WX-0000347,JED,2024-12-12,37,11,9.7,Clear
WX-0000348,JED,2024-12-13,29,11,8.8,Clear
WX-0000349,JED,2024-12-14,33,11,9.1,Clear
WX-0000350,JED,2024-12-15,29,14,9.8,Cloudy
WX-0000351,JED,2024-12-16,32,24,9.6,Rain
WX-0000352,JED,2024-12-17,40,13,8.2,Clear
WX-0000353,JED,2024-12-18,23,3,8.8,Clear
WX-0000354,JED,2024-12-19,35,35,9.8,Rain
WX-0000355,JED,2024-12-20,36,12,9.5,Cloudy
WX-0000356,JED,2024-12-21,17,5,8.1,Cloudy
WX-0000357,JED,2024-12-22,31,2,9.9,Clear
WX-0000358,JED,2024-12-23,10,4,8.3,Clear
WX-0000359,JED,2024-12-24,16,6,1.4,Fog
WX-0000360,JED,2024-12-25,20,12,2.2,Fog
WX-0000361,JED,2024-12-26,37,6,8.1,Clear
WX-0000362,JED,2024-12-27,14,6,9.1,Clear
WX-0000363,JED,2024-12-28,14,14,8.9,Clear
WX-0000364,JED,2024-12-29,13,10,9.3,Clear
WX-0000365,JED,2024-12-30,27,12,10.0,Clear
WX-0000366,JED,2024-12-31,35,5,9.6,Cloudy
WX-0000367,JED,2025-01-01,15,8,8.9,Clear
WX-0000368,JED,2025-01-02,22,9,8.4,Clear
WX-0000369,JED,2025-01-03,22,5,8.2,Cloudy
WX-0000370,JED,2025-01-04,12,4,9.8,Clear
WX-0000371,JED,2025-01-05,13,10,9.5,Clear
WX-0000372,JED,2025-01-06,22,19,8.2,Rain
WX-0000373,JED,2025-01-07,38,13,9.9,Cloudy
WX-0000374,JED,2025-01-08,27,11,9.4,Cloudy
WX-0000375,JED,2025-01-09,38,13,8.8,Cloudy
WX-0000376,JED,2025-01-10,35,6,8.3,Clear
WX-0000377,JED,2025-01-11,13,7,9.4,Clear
WX-0000378,JED,2025-01-12,24,30,1.2,Storm
WX-0000379,JED,2025-01-13,25,5,8.8,Clear
WX-0000380,JED,2025-01-14,28,13,9.8,Clear
WX-0000381,JED,2025-01-15,18,5,9.4,Clear
WX-0000382,JED,2025-01-16,30,9,8.1,Clear
WX-0000383,JED,2025-01-17,28,29,1.5,Storm
WX-0000384,JED,2025-01-18,34,9,2.1,Fog
WX-0000385,JED,2025-01-19,33,10,9.9,Cloudy
WX-0000386,JED,2025-01-20,40,2,8.2,Clear
WX-0000387,JED,2025-01-21,13,14,9.7,Clear
WX-0000388,JED,2025-01-22,24,2,8.0,Clear
WX-0000389,JED,2025-01-23,25,14,8.6,Clear
WX-0000390,JED,2025-01-24,25,13,9.1,Clear
WX-0000391,JED,2025-01-25,12,8,8.2,Clear
WX-0000392,JED,2025-01-26,11,5,8.1,Clear
WX-0000393,JED,2025-01-27,16,5,9.6,Clear
WX-0000394,JED,2025-01-28,28,5,9.2,Clear
WX-0000395,JED,2025-01-29,21,2,8.6,Cloudy
WX-0000396,JED,2025-01-30,13,9,9.2,Clear
WX-0000397,JED,2025-01-31,22,5,9.4,Clear
WX-0000398,JED,2025-02-01,16,8,8.7,Clear
WX-0000399,JED,2025-02-02,24,9,9.2,Rain
WX-0000400,JED,2025-02-03,35,7,8.9,Cloudy
WX-0000401,JED,2025-02-04,15,2,9.1,Clear
WX-0000402,JED,2025-02-05,29,13,8.8,Cloudy
WX-0000403,JED,2025-02-06,29,4,9.8,Clear
WX-0000404,JED,2025-02-07,38,9,9.8,Cloudy
WX-0000405,JED,2025-02-08,25,4,8.2,Clear
WX-0000406,JED,2025-02-09,31,3,9.9,Clear
WX-0000407,JED,2025-02-10,27,5,9.5,Clear
WX-0000408,JED,2025-02-11,11,8,8.9,Clear
WX-0000409,JED,2025-02-12,29,2,8.1,Clear
WX-0000410,JED,2025-02-13,36,14,8.1,Clear
WX-0000411,JED,2025-02-14,34,10,9.6,Clear
WX-0000412,JED,2025-02-15,36,21,9.7,Rain
WX-0000413,JED,2025-02-16,40,11,8.6,Clear
WX-0000414,JED,2025-02-17,16,14,8.2,Clear
WX-0000415,JED,2025-02-18,28,7,9.5,Clear
WX-0000416,JED,2025-02-19,40,14,9.8,Clear
WX-0000417,JED,2025-02-20,34,10,8.5,Clear
WX-0000418,JED,2025-02-21,34,7,9.2,Clear
WX-0000419,JED,2025-02-22,10,5,9.7,Clear
WX-0000420,JED,2025-02-23,25,5,8.5,Clear
WX-0000421,JED,2025-02-24,41,6,9.5,Cloudy
WX-0000422,JED,2025-02-25,26,31,8.2,Rain
WX-0000423,JED,2025-02-26,21,6,9.4,Cloudy
WX-0000424,JED,2025-02-27,29,4,8.1,Clear
WX-0000425,JED,2025-02-28,29,7,8.3,Clear
WX-0000426,JED,2025-03-01,19,14,8.9,Rain
WX-0000427,JED,2025-03-02,33,3,8.9,Clear
WX-0000428,JED,2025-03-03,21,10,8.9,Clear
WX-0000429,JED,2025-03-04,18,2,3.5,Fog
WX-0000430,JED,2025-03-05,37,12,9.0,Cloudy
WX-0000431,JED,2025-03-06,14,20,3.9,Storm
WX-0000432,JED,2025-03-07,31,2,9.9,Cloudy
WX-0000433,JED,2025-03-08,29,24,9.6,Rain
WX-0000434,JED,2025-03-09,26,3,8.9,Cloudy
WX-0000435,JED,2025-03-10,38,2,8.9,Cloudy
WX-0000436,JED,2025-03-11,12,13,8.2,Clear
WX-0000437,JED,2025-03-12,13,14,9.8,Clear
WX-0000438,JED,2025-03-13,34,9,8.2,Clear
WX-0000439,JED,2025-03-14,17,9,8.6,Clear
WX-0000440,JED,2025-03-15,32,14,9.9,Clear
WX-0000441,JED,2025-03-16,14,2,9.3,Clear
WX-0000442,JED,2025-03-17,12,9,8.5,Cloudy
WX-0000443,JED,2025-03-18,26,11,1.7,Fog
WX-0000444,JED,2025-03-19,20,14,9.3,Clear
WX-0000445,JED,2025-03-20,28,12,8.5,Rain
WX-0000446,JED,2025-03-21,15,2,9.6,Clear
WX-0000447,JED,2025-03-22,40,23,1.1,Storm
WX-0000448,JED,2025-03-23,33,3,8.1,Clear
WX-0000449,JED,2025-03-24,15,9,8.7,Cloudy
WX-0000450,JED,2025-03-25,18,10,8.1,Clear
WX-0000451,JED,2025-03-26,38,41,2.5,Storm
WX-0000452,JED,2025-03-27,37,2,9.5,Cloudy
WX-0000453,JED,2025-03-28,29,9,8.1,Clear
WX-0000454,JED,2025-03-29,30,12,8.6,Clear
WX-0000455,JED,2025-03-30,35,8,9.1,Clear
WX-0000456,JED,2025-03-31,37,5,8.4,Clear
WX-0000457,JED,2025-04-01,13,11,9.9,Clear
WX-0000458,JED,2025-04-02,16,12,8.6,Clear
WX-0000459,JED,2025-04-03,17,7,9.3,Clear
WX-0000460,JED,2025-04-04,32,14,9.4,Clear
WX-0000461,JED,2025-04-05,14,11,8.3,Clear
WX-0000462,JED,2025-04-06,40,4,9.9,Clear
WX-0000463,JED,2025-04-07,41,13,8.1,Clear
WX-0000464,JED,2025-04-08,17,8,9.2,Clear
WX-0000465,JED,2025-04-09,41,11,10.0,Cloudy
WX-0000466,JED,2025-04-10,16,13,8.2,Clear
WX-0000467,JED,2025-04-11,17,10,8.9,Cloudy
WX-0000468,JED,2025-04-12,26,13,9.0,Clear
WX-0000469,JED,2025-04-13,21,15,9.5,Rain
WX-0000470,JED,2025-04-14,40,13,8.2,Cloudy
WX-0000471,JED,2025-04-15,34,10,8.6,Clear
WX-0000472,JED,2025-04-16,15,11,9.6,Clear
WX-0000473,JED,2025-04-17,20,12,8.2,Clear
