Delay_ID,Flight_ID,Delay_Reason,Delay_Minutes
DEL-000066,FL-000244,Air Traffic Control,44
DEL-000067,FL-000251,Air Traffic Control,25
DEL-000068,FL-000253,Air Traffic Control,33
DEL-000069,FL-000264,Air Traffic Control,46
DEL-000070,FL-000272,Late Aircraft Arrival,74
DEL-000071,FL-000274,Weather,48
DEL-000072,FL-000276,Air Traffic Control,95
DEL-000073,FL-000280,Late Aircraft Arrival,23
DEL-000074,FL-000286,Maintenance,18
DEL-000075,FL-000287,Maintenance,163
DEL-000076,FL-000292,Weather,20
DEL-000077,FL-000293,Air Traffic Control,45
DEL-000078,FL-000307,Weather,86
DEL-000079,FL-000309,Maintenance,45
DEL-000080,FL-000311,Weather,38
DEL-000081,FL-000315,Weather,20
DEL-000082,FL-000316,Weather,70
DEL-000083,FL-000318,Weather,43
DEL-000084,FL-000319,Late Aircraft Arrival,19
DEL-000085,FL-000332,Weather,30
DEL-000086,FL-000336,Weather,29
DEL-000087,FL-000339,Weather,69
DEL-000088,FL-000341,Late Aircraft Arrival,64
DEL-000089,FL-000345,Air Traffic Control,134
DEL-000090,FL-000361,Weather,49
DEL-000091,FL-000364,Weather,134
DEL-000092,FL-000365,Maintenance,77
DEL-000093,FL-000367,Air Traffic Control,71
DEL-000094,FL-000381,Late Aircraft Arrival,15
DEL-000095,FL-000388,Maintenance,33
DEL-000096,FL-000406,Air Traffic Control,49
DEL-000097,FL-000409,Weather,48
DEL-000098,FL-000412,Maintenance,57
DEL-000099,FL-000417,Security,121
DEL-000100,FL-000418,Weather,29
DEL-000101,FL-000419,Late Aircraft Arrival,51
DEL-000102,FL-000421,Late Aircraft Arrival,34
DEL-000103,FL-000427,Weather,33
DEL-000104,FL-000428,Security,53
DEL-000105,FL-000438,Weather,63
DEL-000106,FL-000447,Air Traffic Control,154
DEL-000107,FL-000457,Weather,18
DEL-000108,FL-000467,Maintenance,130
DEL-000109,FL-000471,Late Aircraft Arrival,19
DEL-000110,FL-000480,Late Aircraft Arrival,133
DEL-000111,FL-000481,Weather,81
DEL-000112,FL-000484,Weather,74
DEL-000113,FL-000487,Weather,40
DEL-000114,FL-000489,Maintenance,27
DEL-000115,FL-000496,Late Aircraft Arrival,18
DEL-000116,FL-000498,Air Traffic Control,51
DEL-000117,FL-000502,Weather,68
DEL-000118,FL-000504,Late Aircraft Arrival,162
DEL-000119,FL-000511,Weather,53
DEL-000120,FL-000521,Maintenance,60
DEL-000121,FL-000522,Weather,20
DEL-000122,FL-000523,Late Aircraft Arrival,42
DEL-000123,FL-000524,Weather,27
DEL-000124,FL-000526,Maintenance,62
DEL-000125,FL-000532,Maintenance,70
DEL-000126,FL-000542,Maintenance,46
DEL-000127,FL-000548,Late Aircraft Arrival,25
DEL-000128,FL-000550,Air Traffic Control,46
DEL-000129,FL-000553,Weather,120
DEL-000130,FL-000554,Air Traffic Control,27
DEL-000131,FL-000559,Late Aircraft Arrival,17
DEL-000132,FL-000562,Air Traffic Control,21
DEL-000133,FL-000565,Weather,110
DEL-000134,FL-000570,Weather,23
DEL-000135,FL-000571,Weather,18
DEL-000136,FL-000572,Maintenance,16
DEL-000137,FL-000575,Air Traffic Control,28
DEL-000138,FL-000589,Security,99
DEL-000139,FL-000593,Security,36
DEL-000140,FL-000595,Air Traffic Control,36
DEL-000141,FL-000599,Air Traffic Control,83
DEL-000142,FL-000600,Late Aircraft Arrival,66
DEL-000143,FL-000602,Air Traffic Control,68
DEL-000144,FL-000614,Weather,19
DEL-000145,FL-000615,Air Traffic Control,68
DEL-000146,FL-000617,Weather,52
DEL-000147,FL-000622,Maintenance,18
DEL-000148,FL-000639,Air Traffic Control,45
DEL-000149,FL-000644,Maintenance,113
DEL-000150,FL-000652,Late Aircraft Arrival,98
DEL-000151,FL-000659,Late Aircraft Arrival,119
DEL-000152,FL-000671,Late Aircraft Arrival,61
DEL-000153,FL-000672,Late Aircraft Arrival,30
DEL-000154,FL-000675,Air Traffic Control,139
DEL-000155,FL-000676,Weather,81
DEL-000156,FL-000677,Security,55
DEL-000157,FL-000678,Weather,206
DEL-000158,FL-000680,Late Aircraft Arrival,44
DEL-000159,FL-000688,Late Aircraft Arrival,97
DEL-000160,FL-000689,Air Traffic Control,140
DEL-000161,FL-000692,Maintenance,61
DEL-000162,FL-000695,Late Aircraft Arrival,58
DEL-000163,FL-000696,Weather,33
DEL-000164,FL-000706,Late Aircraft Arrival,127
DEL-000165,FL-000708,Weather,74
DEL-000166,FL-000717,Weather,27
DEL-000167,FL-000718,Security,24
DEL-000168,FL-000719,Air Traffic Control,184
DEL-000169,FL-000720,Late Aircraft Arrival,34
DEL-000170,FL-000726,Air Traffic Control,41
DEL-000171,FL-000728,Air Traffic Control,50
DEL-000172,FL-000729,Weather,51
DEL-000173,FL-000730,Late Aircraft Arrival,89
DEL-000174,FL-000740,Maintenance,38
DEL-000175,FL-000743,Maintenance,196
DEL-000176,FL-000744,Weather,29
DEL-000177,FL-000746,Air Traffic Control,24
DEL-000178,FL-000748,Air Traffic Control,27
DEL-000179,FL-000755,Late Aircraft Arrival,23
DEL-000180,FL-000756,Late Aircraft Arrival,20
DEL-000181,FL-000761,Late Aircraft Arrival,29
DEL-000182,FL-000763,Air Traffic Control,27
DEL-000183,FL-000765,Maintenance,18
DEL-000184,FL-000767,Air Traffic Control,25
DEL-000185,FL-000773,Weather,43
DEL-000186,FL-000776,Weather,41
DEL-000187,FL-000801,Late Aircraft Arrival,110
DEL-000188,FL-000803,Maintenance,38
DEL-000189,FL-000804,Air Traffic Control,60
DEL-000190,FL-000811,Security,47
DEL-000191,FL-000820,Late Aircraft Arrival,16
DEL-000192,FL-000824,Weather,28
DEL-000193,FL-000828,Maintenance,60
DEL-000194,FL-000832,Air Traffic Control,51
DEL-000195,FL-000834,Air Traffic Control,44
DEL-000196,FL-000840,Air Traffic Control,63
DEL-000197,FL-000841,Maintenance,131
DEL-000198,FL-000851,Weather,36
DEL-000199,FL-000852,Late Aircraft Arrival,24
DEL-000200,FL-000853,Air Traffic Control,21
DEL-000201,FL-000854,Air Traffic Control,47
DEL-000202,FL-000855,Maintenance,22
DEL-000203,FL-000857,Air Traffic Control,25
DEL-000204,FL-000860,Weather,17
DEL-000205,FL-000861,Air Traffic Control,92
DEL-000206,FL-000868,Weather,103
DEL-000207,FL-000873,Maintenance,42
DEL-000208,FL-000876,Air Traffic Control,116
DEL-000209,FL-000878,Weather,33
DEL-000210,FL-000879,Air Traffic Control,49
DEL-000211,FL-000883,Maintenance,19
DEL-000212,FL-000888,Late Aircraft Arrival,62
DEL-000213,FL-000892,Maintenance,26
DEL-000214,FL-000893,Air Traffic Control,35
DEL-000215,FL-000896,Air Traffic Control,151
DEL-000216,FL-000901,Maintenance,36
DEL-000217,FL-000902,Late Aircraft Arrival,197
DEL-000218,FL-000906,Air Traffic Control,16
DEL-000219,FL-000907,Weather,23
DEL-000220,FL-000908,Air Traffic Control,100
DEL-000221,FL-000911,Air Traffic Control,20
DEL-000222,FL-000917,Late Aircraft Arrival,194
DEL-000223,FL-000922,Weather,46
DEL-000224,FL-000923,Weather,76
DEL-000225,FL-000926,Security,192
DEL-000226,FL-000937,Weather,15
DEL-000227,FL-000938,Late Aircraft Arrival,20
DEL-000228,FL-000939,Weather,103
DEL-000229,FL-000940,Maintenance,39
DEL-000230,FL-000941,Late Aircraft Arrival,21
DEL-000231,FL-000942,Weather,41
DEL-000232,FL-000943,Air Traffic Control,20
DEL-000233,FL-000948,Air Traffic Control,16
DEL-000234,FL-000957,Weather,96
DEL-000235,FL-000976,Weather,37
DEL-000236,FL-000977,Weather,23
DEL-000237,FL-000980,Late Aircraft Arrival,56
DEL-000238,FL-000985,Maintenance,57
DEL-000239,FL-000986,Air Traffic Control,22
DEL-000240,FL-000988,Weather,19
DEL-000241,FL-000992,Late Aircraft Arrival,21
DEL-000242,FL-000995,Late Aircraft Arrival,33
DEL-000243,FL-000997,Weather,89
DEL-000244,FL-001002,Air Traffic Control,143
DEL-000245,FL-001003,Maintenance,40
DEL-000246,FL-001004,Maintenance,33
DEL-000247,FL-001005,Security,33
DEL-000248,FL-001010,Weather,293
DEL-000249,FL-001011,Weather,130
DEL-000250,FL-001013,Late Aircraft Arrival,30
DEL-000251,FL-001015,Air Traffic Control,135
DEL-000252,FL-001032,Air Traffic Control,32
DEL-000253,FL-001043,Air Traffic Control,33
DEL-000254,FL-001048,Late Aircraft Arrival,31
DEL-000255,FL-001052,Maintenance,15
DEL-000256,FL-001068,Late Aircraft Arrival,74
DEL-000257,FL-001073,Air Traffic Control,16
DEL-000258,FL-001074,Security,54
DEL-000259,FL-001104,Weather,72
DEL-000260,FL-001106,Air Traffic Control,46
DEL-000261,FL-001121,Maintenance,22
DEL-000262,FL-001122,Air Traffic Control,259
DEL-000263,FL-001125,Air Traffic Control,15
DEL-000264,FL-001132,Late Aircraft Arrival,131
DEL-000265,FL-001138,Maintenance,58
DEL-000266,FL-001140,Maintenance,53
DEL-000267,FL-001155,Air Traffic Control,47
DEL-000268,FL-001157,Security,15
DEL-000269,FL-001166,Weather,141
DEL-000270,FL-001172,Weather,156
DEL-000271,FL-001175,Maintenance,155
DEL-000272,FL-001176,Weather,125
DEL-000273,FL-001186,Maintenance,31
DEL-000274,FL-001188,Air Traffic Control,52
DEL-000275,FL-001195,Weather,58
DEL-000276,FL-001202,Late Aircraft Arrival,46
DEL-000277,FL-001203,Late Aircraft Arrival,21
DEL-000278,FL-001205,Weather,19
DEL-000279,FL-001209,Maintenance,65
DEL-000280,FL-001212,Maintenance,248
DEL-000281,FL-001213,Late Aircraft Arrival,17
DEL-000282,FL-001218,Maintenance,154
DEL-000283,FL-001223,Weather,119
DEL-000284,FL-001224,Air Traffic Control,35
DEL-000285,FL-001225,Late Aircraft Arrival,52
DEL-000286,FL-001232,Weather,20
DEL-000287,FL-001235,Weather,70
DEL-000288,FL-001236,Weather,27
DEL-000289,FL-001239,Air Traffic Control,16
DEL-000290,FL-001240,Air Traffic Control,66
DEL-000291,FL-001241,Late Aircraft Arrival,17
DEL-000292,FL-001250,Air Traffic Control,56
DEL-000293,FL-001251,Air Traffic Control,75
DEL-000294,FL-001252,Late Aircraft Arrival,60
DEL-000295,FL-001263,Late Aircraft Arrival,16
DEL-000296,FL-001271,Security,16
DEL-000297,FL-001280,Security,123
DEL-000298,FL-001282,Air Traffic Control,98
DEL-000299,FL-001287,Maintenance,61
DEL-000300,FL-001291,Late Aircraft Arrival,20
DEL-000301,FL-001292,Air Traffic Control,172
DEL-000302,FL-001295,Air Traffic Control,20
DEL-000303,FL-001298,Maintenance,28
DEL-000304,FL-001303,Weather,80
DEL-000305,FL-001310,Air Traffic Control,167
DEL-000306,FL-001313,Air Traffic Control,54
DEL-000307,FL-001315,Maintenance,16
DEL-000308,FL-001321,Air Traffic Control,37
DEL-000309,FL-001323,Maintenance,35
DEL-000310,FL-001329,Air Traffic Control,115
DEL-000311,FL-001331,Late Aircraft Arrival,37
DEL-000312,FL-001341,Maintenance,72
DEL-000313,FL-001342,Weather,16
DEL-000314,FL-001344,Weather,23
DEL-000315,FL-001348,Maintenance,111
DEL-000316,FL-001350,Air Traffic Control,48
DEL-000317,FL-001353,Air Traffic Control,51
DEL-000318,FL-001355,Weather,22
DEL-000319,FL-001356,Late Aircraft Arrival,80
DEL-000320,FL-001357,Weather,29
DEL-000321,FL-001363,Security,70
DEL-000322,FL-001367,Air Traffic Control,34
DEL-000323,FL-001368,Late Aircraft Arrival,26
DEL-000324,FL-001369,Late Aircraft Arrival,23
DEL-000325,FL-001376,Late Aircraft Arrival,100
DEL-000326,FL-001379,Late Aircraft Arrival,22
DEL-000327,FL-001381,Maintenance,25
DEL-000328,FL-001383,Air Traffic Control,36
DEL-000329,FL-001387,Air Traffic Control,103
DEL-000330,FL-001390,Late Aircraft Arrival,85
DEL-000331,FL-001393,Air Traffic Control,56
DEL-000332,FL-001395,Air Traffic Control,49
DEL-000333,FL-001397,Security,74
DEL-000334,FL-001403,Late Aircraft Arrival,17
DEL-000335,FL-001405,Security,46
DEL-000336,FL-001409,Late Aircraft Arrival,15
DEL-000337,FL-001410,Air Traffic Control,40
DEL-000338,FL-001411,Late Aircraft Arrival,42
DEL-000339,FL-001418,Late Aircraft Arrival,15
DEL-000340,FL-001419,Maintenance,36
DEL-000341,FL-001428,Late Aircraft Arrival,37
DEL-000342,FL-001431,Late Aircraft Arrival,35
DEL-000343,FL-001432,Late Aircraft Arrival,21
DEL-000344,FL-001438,Maintenance,51
DEL-000345,FL-001447,Air Traffic Control,44
DEL-000346,FL-001466,Air Traffic Control,77
DEL-000347,FL-001472,Air Traffic Control,18
DEL-000348,FL-001479,Weather,137
DEL-000349,FL-001481,Weather,53
DEL-000350,FL-001483,Weather,20
DEL-000351,FL-001484,Late Aircraft Arrival,102
DEL-000352,FL-001485,Late Aircraft Arrival,24
DEL-000353,FL-001487,Maintenance,30
DEL-000354,FL-001488,Maintenance,34
DEL-000355,FL-001489,Maintenance,25
DEL-000356,FL-001500,Air Traffic Control,38
DEL-000357,FL-001504,Maintenance,121
DEL-000358,FL-001505,Weather,42
DEL-000359,FL-001511,Weather,32
DEL-000360,FL-001531,Weather,59
DEL-000361,FL-001537,Maintenance,189
DEL-000362,FL-001539,Maintenance,26
DEL-000363,FL-001548,Late Aircraft Arrival,29
DEL-000364,FL-001553,Weather,30
DEL-000365,FL-001560,Late Aircraft Arrival,28
DEL-000366,FL-001562,Maintenance,43
DEL-000367,FL-001567,Late Aircraft Arrival,75
DEL-000368,FL-001574,Security,18
DEL-000369,FL-001581,Air Traffic Control,37
DEL-000370,FL-001594,Late Aircraft Arrival,42
DEL-000371,FL-001599,Weather,91
DEL-000372,FL-001603,Air Traffic Control,33
DEL-000373,FL-001604,Late Aircraft Arrival,34
DEL-000374,FL-001613,Security,29
DEL-000375,FL-001615,Late Aircraft Arrival,26
DEL-000376,FL-001618,Late Aircraft Arrival,24
DEL-000377,FL-001619,Air Traffic Control,75
DEL-000378,FL-001621,Maintenance,28
DEL-000379,FL-001624,Maintenance,70
DEL-000380,FL-001631,Maintenance,148
DEL-000381,FL-001633,Maintenance,28
DEL-000382,FL-001636,Weather,66
DEL-000383,FL-001638,Late Aircraft Arrival,54
DEL-000384,FL-001642,Maintenance,109
DEL-000385,FL-001643,Air Traffic Control,31
DEL-000386,FL-001648,Weather,30
DEL-000387,FL-001650,Air Traffic Control,62
DEL-000388,FL-001652,Air Traffic Control,461
DEL-000389,FL-001657,Maintenance,76
DEL-000390,FL-001663,Late Aircraft Arrival,61
DEL-000391,FL-001666,Weather,27
DEL-000392,FL-001677,Maintenance,16
DEL-000393,FL-001679,Air Traffic Control,25
DEL-000394,FL-001680,Air Traffic Control,29
DEL-000395,FL-001689,Maintenance,111
DEL-000396,FL-001700,Late Aircraft Arrival,31
DEL-000397,FL-001703,Air Traffic Control,35
DEL-000398,FL-001704,Late Aircraft Arrival,33
DEL-000399,FL-001712,Maintenance,73
DEL-000400,FL-001713,Weather,28
DEL-000401,FL-001716,Maintenance,51
DEL-000402,FL-001718,Security,45
DEL-000403,FL-001724,Maintenance,22
DEL-000404,FL-001735,Air Traffic Control,44
DEL-000405,FL-001742,Maintenance,30
DEL-000406,FL-001743,Maintenance,51
DEL-000407,FL-001746,Air Traffic Control,57
DEL-000408,FL-001757,Late Aircraft Arrival,32
DEL-000409,FL-001760,Maintenance,39
DEL-000410,FL-001765,Weather,89
DEL-000411,FL-001769,Maintenance,37
DEL-000412,FL-001793,Air Traffic Control,40
DEL-000413,FL-001795,Maintenance,84
DEL-000414,FL-001796,Maintenance,29
DEL-000415,FL-001797,Air Traffic Control,51
DEL-000416,FL-001806,Maintenance,22
DEL-000417,FL-001809,Security,21
DEL-000418,FL-001811,Maintenance,36
DEL-000419,FL-001812,Air Traffic Control,71
DEL-000420,FL-001825,Weather,55
DEL-000421,FL-001832,Weather,57
DEL-000422,FL-001834,Late Aircraft Arrival,23
DEL-000423,FL-001836,Air Traffic Control,183
DEL-000424,FL-001837,Weather,69
DEL-000425,FL-001842,Maintenance,59
DEL-000426,FL-001846,Air Traffic Control,37
DEL-000427,FL-001848,Security,42
DEL-000428,FL-001849,Air Traffic Control,44
DEL-000429,FL-001851,Maintenance,108
DEL-000430,FL-001852,Air Traffic Control,81
DEL-000431,FL-001869,Maintenance,97
DEL-000432,FL-001874,Late Aircraft Arrival,177
DEL-000433,FL-001878,Maintenance,187
DEL-000434,FL-001879,Air Traffic Control,53
DEL-000435,FL-001883,Weather,55
DEL-000436,FL-001886,Weather,46
DEL-000437,FL-001895,Late Aircraft Arrival,30
DEL-000438,FL-001896,Maintenance,56
DEL-000439,FL-001901,Late Aircraft Arrival,107
DEL-000440,FL-001902,Late Aircraft Arrival,43
DEL-000441,FL-001906,Maintenance,55
DEL-000442,FL-001907,Security,40
DEL-000443,FL-001913,Air Traffic Control,28
DEL-000444,FL-001916,Air Traffic Control,17
DEL-000445,FL-001919,Weather,61
DEL-000446,FL-001925,Late Aircraft Arrival,81
DEL-000447,FL-001927,Air Traffic Control,41
DEL-000448,FL-001930,Air Traffic Control,47
DEL-000449,FL-001937,Maintenance,28
DEL-000450,FL-001938,Air Traffic Control,72
DEL-000451,FL-001940,Late Aircraft Arrival,83
DEL-000452,FL-001944,Security,28
DEL-000453,FL-001950,Late Aircraft Arrival,37
DEL-000454,FL-001958,Late Aircraft Arrival,112
DEL-000455,FL-001967,Air Traffic Control,15
DEL-000456,FL-001968,Late Aircraft Arrival,33
DEL-000457,FL-001971,Air Traffic Control,34
DEL-000458,FL-001972,Maintenance,92
DEL-000459,FL-001976,Late Aircraft Arrival,30
DEL-000460,FL-001977,Maintenance,74
DEL-000461,FL-001978,Maintenance,38
DEL-000462,FL-001980,Air Traffic Control,16
DEL-000463,FL-001984,Maintenance,66
DEL-000464,FL-001986,Weather,55
DEL-000465,FL-001994,Weather,92
DEL-000466,FL-001997,Maintenance,113
DEL-000467,FL-002001,Air Traffic Control,32
DEL-000468,FL-002008,Maintenance,31
DEL-000469,FL-002020,Air Traffic Control,27
DEL-000470,FL-002024,Air Traffic Control,27
DEL-000471,FL-002028,Maintenance,89
DEL-000472,FL-002029,Security,18
DEL-000473,FL-002030,Maintenance,28
DEL-000474,FL-002045,Security,15
DEL-000475,FL-002056,Air Traffic Control,86
DEL-000476,FL-002058,Late Aircraft Arrival,25
DEL-000477,FL-002059,Air Traffic Control,76
DEL-000478,FL-002063,Air Traffic Control,96
DEL-000479,FL-002066,Late Aircraft Arrival,26
DEL-000480,FL-002074,Weather,39
DEL-000481,FL-002080,Late Aircraft Arrival,21
DEL-000482,FL-002083,Late Aircraft Arrival,61
DEL-000483,FL-002086,Air Traffic Control,124
DEL-000484,FL-002095,Security,17
DEL-000485,FL-002098,Maintenance,89
DEL-000486,FL-002104,Late Aircraft Arrival,20
DEL-000487,FL-002105,Maintenance,165
DEL-000488,FL-002108,Weather,28
DEL-000489,FL-002115,Weather,69
DEL-000490,FL-002116,Maintenance,29
DEL-000491,FL-002122,Late Aircraft Arrival,21
DEL-000492,FL-002126,Air Traffic Control,18
DEL-000493,FL-002131,Weather,31
DEL-000494,FL-002135,Air Traffic Control,23
DEL-000495,FL-002137,Security,38
DEL-000496,FL-002140,Weather,17
DEL-000497,FL-002144,Late Aircraft Arrival,28
DEL-000498,FL-002148,Air Traffic Control,192
DEL-000499,FL-002151,Air Traffic Control,69
DEL-000500,FL-002154,Late Aircraft Arrival,53
DEL-000501,FL-002156,Late Aircraft Arrival,65
DEL-000502,FL-002165,Air Traffic Control,43
DEL-000503,FL-002168,Late Aircraft Arrival,44
DEL-000504,FL-002172,Weather,62
DEL-000505,FL-002174,Weather,84
DEL-000506,FL-002175,Air Traffic Control,20
DEL-000507,FL-002177,Maintenance,118
DEL-000508,FL-002180,Late Aircraft Arrival,161
DEL-000509,FL-002181,Security,31
DEL-000510,FL-002182,Late Aircraft Arrival,67
DEL-000511,FL-002188,Late Aircraft Arrival,27
DEL-000512,FL-002192,Air Traffic Control,25
DEL-000513,FL-002196,Maintenance,66
DEL-000514,FL-002197,Air Traffic Control,69
DEL-000515,FL-002200,Maintenance,75
DEL-000516,FL-002212,Air Traffic Control,18
DEL-000517,FL-002216,Security,17
DEL-000518,FL-002225,Air Traffic Control,86
DEL-000519,FL-002230,Late Aircraft Arrival,28
DEL-000520,FL-002231,Air Traffic Control,20
DEL-000521,FL-002242,Weather,92
DEL-000522,FL-002253,Weather,41
DEL-000523,FL-002254,Late Aircraft Arrival,60
DEL-000524,FL-002258,Air Traffic Control,263
DEL-000525,FL-002261,Maintenance,28
DEL-000526,FL-002262,Late Aircraft Arrival,80
DEL-000527,FL-002268,Maintenance,211
DEL-000528,FL-002273,Air Traffic Control,30
DEL-000529,FL-002278,Air Traffic Control,87
DEL-000530,FL-002283,Air Traffic Control,24
DEL-000531,FL-002284,Maintenance,65
DEL-000532,FL-002285,Late Aircraft Arrival,86
DEL-000533,FL-002287,Weather,144
DEL-000534,FL-002306,Late Aircraft Arrival,23
DEL-000535,FL-002307,Late Aircraft Arrival,44
DEL-000536,FL-002308,Air Traffic Control,171
DEL-000537,FL-002309,Late Aircraft Arrival,33
DEL-000538,FL-002310,Air Traffic Control,47
DEL-000539,FL-002318,Weather,96
DEL-000540,FL-002322,Security,59
DEL-000541,FL-002336,Late Aircraft Arrival,84
DEL-000542,FL-002342,Maintenance,17
DEL-000543,FL-002345,Maintenance,57
DEL-000544,FL-002348,Air Traffic Control,98
DEL-000545,FL-002351,Maintenance,94
DEL-000546,FL-002363,Weather,83
DEL-000547,FL-002366,Maintenance,36
DEL-000548,FL-002368,Late Aircraft Arrival,31
DEL-000549,FL-002371,Weather,34
DEL-000550,FL-002379,Maintenance,170
DEL-000551,FL-002383,Air Traffic Control,20
DEL-000552,FL-002389,Maintenance,37
DEL-000553,FL-002401,Air Traffic Control,20
DEL-000554,FL-002402,Late Aircraft Arrival,36
DEL-000555,FL-002407,Maintenance,45
DEL-000556,FL-002409,Weather,18
DEL-000557,FL-002411,Weather,33
DEL-000558,FL-002415,Maintenance,93
DEL-000559,FL-002416,Air Traffic Control,19
DEL-000560,FL-002421,Late Aircraft Arrival,222
DEL-000561,FL-002426,Air Traffic Control,57
DEL-000562,FL-002428,Maintenance,22
DEL-000563,FL-002429,Maintenance,75
DEL-000564,FL-002430,Air Traffic Control,142
DEL-000565,FL-002436,Air Traffic Control,26
DEL-000566,FL-002438,Maintenance,21
DEL-000567,FL-002439,Air Traffic Control,53
DEL-000568,FL-002441,Late Aircraft Arrival,41
DEL-000569,FL-002449,Air Traffic Control,68
DEL-000570,FL-002452,Maintenance,42
DEL-000571,FL-002454,Maintenance,24
DEL-000572,FL-002458,Weather,58
DEL-000573,FL-002462,Air Traffic Control,74
DEL-000574,FL-002468,Air Traffic Control,48
DEL-000575,FL-002474,Maintenance,26
DEL-000576,FL-002477,Late Aircraft Arrival,25
DEL-000577,FL-002482,Late Aircraft Arrival,33
DEL-000578,FL-002493,Weather,53
DEL-000579,FL-002494,Late Aircraft Arrival,20
DEL-000580,FL-002503,Air Traffic Control,38
DEL-000581,FL-002508,Maintenance,56
DEL-000582,FL-002509,Weather,71
DEL-000583,FL-002519,Air Traffic Control,46
DEL-000584,FL-002533,Security,52
DEL-000585,FL-002535,Late Aircraft Arrival,26
DEL-000586,FL-002536,Maintenance,15
DEL-000587,FL-002540,Air Traffic Control,72
DEL-000588,FL-002552,Air Traffic Control,60
DEL-000589,FL-002556,Weather,94
DEL-000590,FL-002558,Weather,93
DEL-000591,FL-002568,Weather,26
DEL-000592,FL-002570,Air Traffic Control,31
DEL-000593,FL-002572,Air Traffic Control,44
DEL-000594,FL-002576,Security,50
DEL-000595,FL-002578,Maintenance,168
DEL-000596,FL-002584,Weather,108
DEL-000597,FL-002585,Late Aircraft Arrival,129
DEL-000598,FL-002593,Late Aircraft Arrival,41
DEL-000599,FL-002600,Late Aircraft Arrival,162
DEL-000600,FL-002610,Weather,33
DEL-000601,FL-002613,Maintenance,51
DEL-000602,FL-002616,Weather,21
DEL-000603,FL-002623,Air Traffic Control,70
DEL-000604,FL-002624,Late Aircraft Arrival,183
DEL-000605,FL-002626,Weather,53
DEL-000606,FL-002629,Weather,35
DEL-000607,FL-002630,Air Traffic Control,49
DEL-000608,FL-002631,Maintenance,128
DEL-000609,FL-002632,Weather,197
DEL-000610,FL-002636,Weather,59
DEL-000611,FL-002640,Late Aircraft Arrival,50
DEL-000612,FL-002642,Air Traffic Control,75
DEL-000613,FL-002644,Maintenance,17
DEL-000614,FL-002649,Air Traffic Control,66
DEL-000615,FL-002653,Weather,40
DEL-000616,FL-002657,Late Aircraft Arrival,81
