Ticket_ID,Flight_ID,Passenger_ID,Class,Fare_Amount_USD,Booking_Date
TK-0000054,FL-057122,PA-023968,Economy,349.24,2024-01-14
TK-0000055,FL-069156,PA-010844,Economy,795.14,2023-12-04
TK-0000056,FL-009111,PA-006636,Economy,299.05,2024-12-31
TK-0000057,FL-060537,PA-015726,Business,370.36,2024-11-07
TK-0000058,FL-044888,PA-012089,Economy,524.14,2025-04-07
TK-0000059,FL-075668,PA-023535,Economy,477.44,2025-03-01
TK-0000060,FL-077665,PA-000080,Economy,658.78,2025-02-20
TK-0000061,FL-086730,PA-000891,Economy,135.79,2025-04-30
TK-0000062,FL-017567,PA-006686,Economy,532.92,2024-12-15
TK-0000063,FL-041626,PA-008025,Economy,432.2,2025-08-28
TK-0000064,FL-086796,PA-007801,Economy,152.09,2024-06-04
TK-0000065,FL-048927,PA-002766,Economy,869.22,2025-01-21
TK-0000066,FL-051323,PA-004824,Economy,475.91,2025-10-20
TK-0000067,FL-048424,PA-010370,Economy,299.3,2025-01-22
TK-0000068,FL-060493,PA-010485,Business,1046.12,2025-03-07
TK-0000069,FL-069497,PA-019588,Economy,508.0,2025-01-27
TK-0000070,FL-068926,PA-001348,Economy,724.33,2025-12-15
TK-0000071,FL-018359,PA-021563,Economy,596.99,2024-10-30
TK-0000072,FL-014331,PA-011554,Economy,249.61,2025-06-20
TK-0000073,FL-011002,PA-021380,Economy,687.72,2025-06-25
TK-0000074,FL-042628,PA-005949,Economy,264.77,2024-05-24
TK-0000075,FL-046160,PA-015957,Economy,585.22,2024-02-14
TK-0000076,FL-005903,PA-018571,Economy,360.83,2024-10-20
TK-0000077,FL-091536,PA-009315,Economy,291.67,2025-05-27
TK-0000078,FL-090657,PA-011302,First,2932.2,2024-12-12
TK-0000079,FL-053950,PA-009327,Economy,256.51,2024-04-30
TK-0000080,FL-044732,PA-013097,Economy,479.94,2025-12-11
TK-0000081,FL-017865,PA-015903,Business,2161.54,2025-03-06
TK-0000082,FL-011523,PA-021942,Economy,791.66,2024-04-29
TK-0000083,FL-062579,PA-023587,Economy,616.73,2025-08-04
TK-0000084,FL-012573,PA-018312,Economy,564.4,2024-06-02
TK-0000085,FL-057242,PA-003693,Economy,135.71,2024-05-22
TK-0000086,FL-027914,PA-001345,Business,1974.82,2025-05-23
TK-0000087,FL-059405,PA-002633,Economy,695.05,2024-02-11
TK-0000088,FL-015165,PA-014364,Economy,710.22,2024-12-09
TK-0000089,FL-076858,PA-013590,Economy,270.33,2024-11-21
TK-0000090,FL-041653,PA-010081,Economy,801.52,2024-03-03
TK-0000091,FL-012740,PA-002479,Economy,869.88,2025-10-12
TK-0000092,FL-006802,PA-008496,Economy,386.4,2025-05-14
TK-0000093,FL-093951,PA-024656,Economy,685.62,2024-11-15
TK-0000094,FL-056872,PA-005609,Economy,367.78,2024-02-12
TK-0000095,FL-086279,PA-015418,Business,309.38,2025-07-26
TK-0000096,FL-051569,PA-000895,Economy,577.32,2024-05-18
TK-0000097,FL-086496,PA-021912,Economy,621.73,2025-08-14
TK-0000098,FL-008141,PA-011162,Economy,330.71,2025-02-05
TK-0000099,FL-063812,PA-017339,Economy,657.97,2025-04-20
TK-0000100,FL-060321,PA-001746,Economy,811.12,2025-09-28
TK-0000101,FL-089279,PA-003348,Economy,754.35,2025-09-13
TK-0000102,FL-071160,PA-006595,Economy,123.1,2023-12-24
TK-0000103,FL-021245,PA-010447,First,1790.16,2024-09-29
TK-0000104,FL-061352,PA-012404,Economy,489.41,2024-05-13
TK-0000105,FL-020364,PA-012198,Economy,270.46,2023-10-25
TK-0000106,FL-087988,PA-003579,Economy,186.19,2024-02-28
TK-0000107,FL-041006,PA-010280,Business,1481.88,2024-10-12
TK-0000108,FL-099486,PA-004742,Economy,628.72,2023-12-22
TK-0000109,FL-081718,PA-011796,Economy,128.87,2024-09-30
TK-0000110,FL-063178,PA-021730,Economy,149.07,2025-06-17
TK-0000111,FL-015978,PA-012866,Business,1018.12,2025-02-24
TK-0000112,FL-003047,PA-012264,Business,2556.37,2025-06-27
TK-0000113,FL-025102,PA-013614,Economy,509.21,2024-01-22
TK-0000114,FL-099017,PA-021232,Economy,536.94,2024-02-13
TK-0000115,FL-085845,PA-004803,Economy,476.1,2024-05-04
TK-0000116,FL-083473,PA-016525,Business,442.8,2023-12-12
TK-0000117,FL-078972,PA-014072,Economy,639.07,2024-11-26
TK-0000118,FL-048007,PA-019104,Economy,628.47,2024-11-24
TK-0000119,FL-001314,PA-002147,Economy,806.15,2025-02-24
TK-0000120,FL-019713,PA-003043,Economy,795.63,2024-12-28
TK-0000121,FL-059614,PA-003005,Economy,825.61,2024-09-05
TK-0000122,FL-036953,PA-019843,Economy,322.85,2023-12-09
TK-0000123,FL-029157,PA-011409,Economy,142.74,2025-07-15
TK-0000124,FL-020566,PA-002883,First,1802.83,2025-03-24
TK-0000125,FL-033597,PA-023446,Economy,618.09,2025-03-16
TK-0000126,FL-043238,PA-016884,Economy,705.8,2024-04-03
TK-0000127,FL-062362,PA-017573,Business,971.5,2025-08-23
TK-0000128,FL-026056,PA-018999,Economy,746.64,2025-11-30
TK-0000129,FL-076592,PA-002319,First,1677.84,2025-09-30
TK-0000130,FL-055137,PA-016404,Economy,135.48,2025-05-12
TK-0000131,FL-021970,PA-021242,Business,1153.65,2024-10-11
TK-0000132,FL-067568,PA-017021,Business,747.79,2024-01-30
TK-0000133,FL-060299,PA-013262,Economy,624.93,2025-02-22
TK-0000134,FL-095399,PA-000418,Business,1725.91,2025-02-19
TK-0000135,FL-085736,PA-008197,Economy,803.88,2025-08-05
TK-0000136,FL-041607,PA-014704,Economy,843.39,2024-05-06
TK-0000137,FL-093562,PA-011871,Economy,876.1,2025-07-30
TK-0000138,FL-084029,PA-018973,Economy,826.15,2024-02-29
TK-0000139,FL-013651,PA-023667,Economy,244.95,2025-05-10
TK-0000140,FL-052499,PA-002056,Economy,508.85,2024-04-12
TK-0000141,FL-075584,PA-003722,Economy,277.44,2024-06-20
TK-0000142,FL-069410,PA-007152,Economy,138.26,2025-03-12
TK-0000143,FL-011263,PA-002681,Economy,434.4,2024-09-11
TK-0000144,FL-034617,PA-013551,Economy,743.74,2023-12-25
TK-0000145,FL-088055,PA-017115,First,1724.28,2024-03-24
TK-0000146,FL-012437,PA-014272,First,4541.42,2025-03-19
TK-0000147,FL-002107,PA-011074,Economy,278.11,2025-11-01
TK-0000148,FL-061637,PA-024925,Business,2239.25,2025-07-21
TK-0000149,FL-086969,PA-024929,First,2212.4,2025-06-19
TK-0000150,FL-060483,PA-021011,Economy,669.33,2025-02-18
TK-0000151,FL-097209,PA-013767,Economy,682.01,2024-04-14
TK-0000152,FL-071116,PA-023852,Economy,718.18,2023-10-21
TK-0000153,FL-045532,PA-003486,Economy,519.25,2025-06-24
TK-0000154,FL-096343,PA-003864,Economy,750.0,2025-07-31
TK-0000155,FL-079072,PA-024299,Economy,889.55,2024-04-09
TK-0000156,FL-039894,PA-006356,Economy,124.73,2024-04-09
TK-0000157,FL-046697,PA-023611,Economy,332.4,2024-07-03
TK-0000158,FL-034746,PA-007040,Business,1140.32,2025-03-05
TK-0000159,FL-025128,PA-000971,Economy,533.74,2025-04-03
TK-0000160,FL-088092,PA-002912,Economy,542.18,2024-12-17
TK-0000161,FL-025420,PA-013313,Economy,762.56,2025-10-04
TK-0000162,FL-060313,PA-008165,Economy,232.0,2023-11-30
TK-0000163,FL-099153,PA-010024,Economy,758.77,2023-11-12
TK-0000164,FL-061818,PA-022180,First,4134.23,2023-11-28
TK-0000165,FL-068127,PA-000135,Economy,248.24,2025-05-15
TK-0000166,FL-094856,PA-015183,Business,993.99,2023-11-26
TK-0000167,FL-023439,PA-011779,Economy,237.38,2024-01-14
TK-0000168,FL-068446,PA-024618,Economy,529.2,2025-02-22
TK-0000169,FL-032590,PA-000816,Economy,258.97,2024-10-03
TK-0000170,FL-035460,PA-005289,Economy,241.61,2024-07-01
TK-0000171,FL-081485,PA-018280,Economy,793.51,2025-02-10
TK-0000172,FL-003976,PA-010434,Economy,764.32,2025-10-08
TK-0000173,FL-096770,PA-008480,Economy,582.71,2024-05-20
TK-0000174,FL-003520,PA-020549,Economy,375.51,2025-09-20
TK-0000175,FL-098158,PA-004601,Economy,129.5,2024-07-28
TK-0000176,FL-067445,PA-022795,Economy,447.98,2023-11-13
TK-0000177,FL-014892,PA-011768,Business,1660.12,2025-10-13
TK-0000178,FL-017191,PA-024817,Economy,282.79,2024-10-09
TK-0000179,FL-053582,PA-001202,Economy,150.29,2025-06-22
TK-0000180,FL-096022,PA-016670,Economy,710.3,2024-01-06
TK-0000181,FL-059277,PA-014033,Economy,780.75,2024-07-11
TK-0000182,FL-054541,PA-016773,Economy,335.5,2024-01-20
TK-0000183,FL-094077,PA-016897,Economy,769.9,2024-02-03
TK-0000184,FL-081358,PA-009126,Economy,754.75,2025-11-12
TK-0000185,FL-076184,PA-015741,First,4227.26,2025-10-19
TK-0000186,FL-063581,PA-012229,Economy,354.21,2025-03-05
TK-0000187,FL-073701,PA-009868,Economy,202.29,2024-11-19
TK-0000188,FL-089502,PA-021969,Economy,707.63,2024-03-02
TK-0000189,FL-021681,PA-006925,Economy,248.69,2025-04-11
TK-0000190,FL-002614,PA-017952,Economy,700.75,2024-11-10
TK-0000191,FL-027411,PA-013036,Economy,281.08,2024-01-04
TK-0000192,FL-093057,PA-000432,Economy,218.56,2024-02-20
TK-0000193,FL-086627,PA-009205,Economy,451.38,2025-09-03
TK-0000194,FL-049039,PA-021501,Business,874.64,2025-06-22
TK-0000195,FL-037219,PA-010317,Economy,580.79,2024-05-19
TK-0000196,FL-038232,PA-024576,Economy,490.03,2025-09-01
TK-0000197,FL-005939,PA-019931,Economy,226.17,2025-05-29
TK-0000198,FL-020527,PA-013095,Economy,754.0,2025-01-29
TK-0000199,FL-097797,PA-008121,Economy,97.81,2023-11-14
TK-0000200,FL-071243,PA-020761,Economy,394.24,2024-07-24
TK-0000201,FL-038082,PA-014475,First,1739.67,2024-05-07
TK-0000202,FL-001457,PA-009580,Economy,879.87,2025-04-05
TK-0000203,FL-026553,PA-008024,Economy,531.9,2024-12-24
TK-0000204,FL-082475,PA-013135,Economy,724.72,2024-09-01
TK-0000205,FL-040274,PA-005858,Economy,422.89,2025-07-02
TK-0000206,FL-060129,PA-017255,Economy,277.01,2024-09-04
TK-0000207,FL-066658,PA-004378,Economy,648.1,2025-01-29
TK-0000208,FL-067470,PA-015447,Economy,776.22,2024-04-23
TK-0000209,FL-069062,PA-017598,Economy,391.53,2025-12-03
TK-0000210,FL-073979,PA-002101,Economy,816.65,2024-12-16
TK-0000211,FL-006081,PA-022718,Economy,287.14,2024-06-12
TK-0000212,FL-028652,PA-017985,Business,639.26,2024-07-07
TK-0000213,FL-013137,PA-014159,Economy,757.01,2025-05-11
TK-0000214,FL-043620,PA-016344,Economy,405.56,2024-04-03
TK-0000215,FL-069478,PA-019972,First,1308.8,2025-06-06
TK-0000216,FL-036821,PA-004193,Economy,236.57,2025-10-24
TK-0000217,FL-092622,PA-024467,First,2270.03,2024-04-23
TK-0000218,FL-029309,PA-005238,Economy,309.59,2024-12-02
TK-0000219,FL-069347,PA-011212,Economy,527.98,2024-06-12
TK-0000220,FL-004394,PA-009568,Economy,218.21,2025-07-15
TK-0000221,FL-039412,PA-002253,Economy,219.62,2024-11-29
TK-0000222,FL-005826,PA-008070,Business,1287.19,2024-10-04
TK-0000223,FL-073529,PA-023343,Economy,711.31,2025-08-16
TK-0000224,FL-008674,PA-019001,Economy,205.34,2025-06-28
TK-0000225,FL-014081,PA-001510,Business,1515.11,2024-03-31
TK-0000226,FL-022983,PA-018788,Economy,203.19,2023-10-12
TK-0000227,FL-016021,PA-017416,Economy,571.02,2023-12-21
TK-0000228,FL-099688,PA-011193,Economy,282.6,2025-03-30
TK-0000229,FL-011475,PA-023299,Economy,643.17,2023-11-05
TK-0000230,FL-003270,PA-012394,Business,1001.46,2025-02-17
TK-0000231,FL-083578,PA-013014,Economy,868.68,2025-01-08
TK-0000232,FL-055207,PA-014558,Economy,354.36,2024-05-07
TK-0000233,FL-001077,PA-014746,Economy,488.04,2025-09-21
TK-0000234,FL-045650,PA-013532,Economy,674.61,2024-12-24
TK-0000235,FL-081108,PA-023872,Economy,463.2,2025-07-15
TK-0000236,FL-065172,PA-024564,Economy,614.46,2025-07-12
TK-0000237,FL-041283,PA-004158,Business,2241.67,2024-11-12
TK-0000238,FL-001280,PA-002752,Business,1747.06,2025-02-23
TK-0000239,FL-013281,PA-016620,Economy,206.48,2024-01-25
TK-0000240,FL-087336,PA-018522,Economy,490.75,2025-02-19
TK-0000241,FL-038023,PA-001704,Economy,310.2,2024-02-26
TK-0000242,FL-023740,PA-008766,Economy,788.61,2025-02-04
TK-0000243,FL-072272,PA-017893,Economy,302.59,2025-06-08
TK-0000244,FL-073908,PA-022835,Economy,663.74,2025-10-30
TK-0000245,FL-015601,PA-005639,Business,875.54,2024-10-30
TK-0000246,FL-024576,PA-022418,Economy,578.78,2025-04-25
TK-0000247,FL-081415,PA-004335,Business,765.5,2024-05-19
TK-0000248,FL-041215,PA-015616,Economy,107.4,2024-06-22
TK-0000249,FL-048412,PA-022074,Economy,223.27,2024-07-22
TK-0000250,FL-045771,PA-012015,Business,334.81,2024-11-22
TK-0000251,FL-037039,PA-021697,Economy,362.63,2023-10-16
TK-0000252,FL-074415,PA-004701,Economy,644.07,2024-03-20
TK-0000253,FL-053509,PA-009771,Economy,774.21,2024-11-27
TK-0000254,FL-096621,PA-017825,Economy,737.28,2025-02-16
TK-0000255,FL-099801,PA-016417,Economy,828.03,2024-08-11
TK-0000256,FL-090620,PA-020782,Economy,137.79,2025-11-02
TK-0000257,FL-001404,PA-014512,Economy,505.65,2025-01-07
TK-0000258,FL-009711,PA-019042,Economy,589.88,2025-05-28
TK-0000259,FL-097871,PA-012235,Economy,378.45,2024-09-01
TK-0000260,FL-017726,PA-013688,Economy,774.84,2024-02-18
TK-0000261,FL-050743,PA-002028,Economy,703.47,2025-09-24
TK-0000262,FL-044203,PA-008098,Economy,334.91,2024-11-02
TK-0000263,FL-073071,PA-020704,Economy,855.73,2025-01-31
TK-0000264,FL-065422,PA-020379,Business,424.37,2025-07-04
TK-0000265,FL-072788,PA-006604,Economy,456.15,2024-05-14
TK-0000266,FL-083327,PA-024254,Business,2250.32,2025-01-23
TK-0000267,FL-088571,PA-022077,Business,416.36,2024-01-18
TK-0000268,FL-093274,PA-014555,Economy,735.24,2023-11-27
TK-0000269,FL-055030,PA-023283,Economy,849.53,2025-07-27
TK-0000270,FL-008789,PA-010368,Economy,342.8,2024-01-09
TK-0000271,FL-075621,PA-001714,Economy,865.93,2024-12-13
TK-0000272,FL-059880,PA-000197,Economy,591.38,2025-09-27
TK-0000273,FL-075872,PA-011975,Economy,500.39,2024-02-06
TK-0000274,FL-055646,PA-006534,Economy,489.07,2024-04-10
TK-0000275,FL-018885,PA-024738,Business,2065.88,2024-12-14
TK-0000276,FL-025460,PA-023307,Economy,539.73,2025-11-05
TK-0000277,FL-040045,PA-006135,Business,639.18,2025-08-07
TK-0000278,FL-002598,PA-012181,Economy,635.86,2025-02-12
TK-0000279,FL-037131,PA-012113,Economy,554.39,2025-01-31
TK-0000280,FL-051345,PA-003280,Economy,323.98,2024-10-22
TK-0000281,FL-014599,PA-009721,Economy,120.14,2025-03-09
TK-0000282,FL-097552,PA-012763,Economy,275.6,2024-04-27
TK-0000283,FL-079984,PA-024255,Economy,346.09,2025-06-30
TK-0000284,FL-036315,PA-023007,Economy,577.01,2024-06-12
TK-0000285,FL-041730,PA-014489,Economy,823.09,2024-03-30
TK-0000286,FL-020135,PA-017058,Economy,840.34,2024-12-20
TK-0000287,FL-064872,PA-002848,Economy,694.87,2025-11-06
TK-0000288,FL-095350,PA-015888,Economy,506.53,2024-02-11
TK-0000289,FL-036518,PA-024138,Economy,637.31,2025-05-10
TK-0000290,FL-051488,PA-015436,Business,1901.15,2024-04-23
TK-0000291,FL-047409,PA-004206,Economy,734.93,2025-09-01
TK-0000292,FL-029217,PA-011627,Economy,140.17,2024-09-05
TK-0000293,FL-069305,PA-018904,Economy,264.48,2024-03-28
TK-0000294,FL-030103,PA-024062,Economy,849.84,2025-07-09
TK-0000295,FL-086107,PA-015820,Economy,808.62,2024-06-10
TK-0000296,FL-035473,PA-004695,Economy,516.64,2024-05-18
TK-0000297,FL-095111,PA-019209,Economy,469.77,2024-09-27
TK-0000298,FL-065139,PA-016352,Economy,647.16,2024-05-18
TK-0000299,FL-093452,PA-022768,Economy,599.75,2025-10-02
TK-0000300,FL-096553,PA-021738,Economy,376.45,2025-09-13
TK-0000301,FL-042125,PA-003981,Economy,269.87,2025-08-31
TK-0000302,FL-071461,PA-014646,Business,1507.71,2025-04-07
TK-0000303,FL-064333,PA-010723,Economy,248.93,2025-04-28
TK-0000304,FL-042318,PA-005912,Economy,297.08,2024-07-18
TK-0000305,FL-067798,PA-008906,Economy,270.25,2025-01-07
TK-0000306,FL-049671,PA-004116,Economy,609.32,2023-12-18
TK-0000307,FL-030955,PA-012692,Economy,359.21,2025-02-24
TK-0000308,FL-047790,PA-002873,Business,1715.65,2024-04-01
TK-0000309,FL-021019,PA-012903,Economy,633.79,2025-08-09
TK-0000310,FL-095144,PA-006597,Economy,568.12,2024-01-28
TK-0000311,FL-079332,PA-009447,Economy,361.94,2024-12-08
TK-0000312,FL-090676,PA-011654,Economy,847.69,2024-11-01
TK-0000313,FL-006207,PA-007606,Economy,748.35,2025-07-04
TK-0000314,FL-040725,PA-000789,Business,700.24,2024-10-04
TK-0000315,FL-004544,PA-019947,Business,1324.25,2024-05-20
TK-0000316,FL-089054,PA-006949,First,2358.36,2025-03-27
TK-0000317,FL-002148,PA-016898,Economy,727.69,2024-07-29
TK-0000318,FL-082537,PA-022827,Economy,828.95,2024-09-19
TK-0000319,FL-089279,PA-006075,Economy,775.18,2025-08-22
TK-0000320,FL-069868,PA-003416,Economy,643.64,2025-04-21
TK-0000321,FL-034189,PA-000542,Economy,476.06,2024-01-13
TK-0000322,FL-076375,PA-008587,Economy,597.23,2024-01-19
TK-0000323,FL-026285,PA-024460,Economy,755.95,2024-04-21
TK-0000324,FL-049605,PA-007891,Economy,831.85,2025-09-22
TK-0000325,FL-021656,PA-007794,Economy,290.01,2025-03-28
TK-0000326,FL-052171,PA-001706,Economy,469.13,2024-10-07
TK-0000327,FL-008585,PA-011803,Economy,312.96,2024-04-23
TK-0000328,FL-069205,PA-021152,Economy,734.23,2024-04-06
TK-0000329,FL-003718,PA-019426,Economy,175.28,2024-01-06
TK-0000330,FL-022119,PA-008956,Business,536.84,2024-08-19
TK-0000331,FL-037697,PA-008666,Economy,310.83,2024-03-18
TK-0000332,FL-061160,PA-016792,Economy,460.17,2025-07-04
TK-0000333,FL-077563,PA-019011,Economy,732.52,2024-05-03
TK-0000334,FL-034244,PA-021026,First,2804.25,2024-12-02
TK-0000335,FL-082409,PA-006762,Economy,129.18,2024-10-21
TK-0000336,FL-018079,PA-000588,Economy,183.27,2025-05-21
TK-0000337,FL-077549,PA-020660,Economy,105.22,2025-05-27
TK-0000338,FL-042421,PA-014311,Economy,303.08,2025-09-28
TK-0000339,FL-019929,PA-015486,Business,564.67,2024-03-08
TK-0000340,FL-035449,PA-001367,Economy,433.18,2024-07-20
TK-0000341,FL-062894,PA-021014,Economy,610.37,2025-03-09
TK-0000342,FL-045371,PA-019729,Economy,124.52,2024-04-07
TK-0000343,FL-013452,PA-005332,Economy,402.39,2024-10-22
TK-0000344,FL-006395,PA-011508,Business,2039.58,2023-12-31
TK-0000345,FL-080393,PA-013611,Economy,909.1,2023-12-29
TK-0000346,FL-015334,PA-018871,Economy,826.84,2025-09-12
TK-0000347,FL-052139,PA-002100,Economy,584.08,2024-04-05
TK-0000348,FL-000289,PA-005135,Business,1828.26,2024-12-17
TK-0000349,FL-087309,PA-023532,Economy,560.12,2025-05-22
TK-0000350,FL-098626,PA-017646,Business,1002.86,2024-10-20
TK-0000351,FL-080421,PA-017321,Economy,402.02,2025-08-01
TK-0000352,FL-026068,PA-004585,Economy,443.06,2024-01-02
TK-0000353,FL-058584,PA-001670,Economy,747.94,2024-02-04
TK-0000354,FL-077880,PA-022927,Economy,481.55,2024-01-08
TK-0000355,FL-042735,PA-001044,First,2202.24,2024-04-28
TK-0000356,FL-060128,PA-020200,Economy,507.01,2025-07-27
TK-0000357,FL-062443,PA-009875,Economy,416.42,2025-10-26
TK-0000358,FL-014096,PA-013008,Business,1105.66,2025-03-24
TK-0000359,FL-009591,PA-005733,First,4447.82,2024-12-10
TK-0000360,FL-063517,PA-011562,Economy,881.74,2024-08-02
TK-0000361,FL-060406,PA-021993,Economy,561.22,2024-07-18
TK-0000362,FL-035071,PA-017717,Economy,581.26,2025-03-10
TK-0000363,FL-016038,PA-000230,Economy,118.02,2025-02-26
TK-0000364,FL-094988,PA-006729,Economy,392.65,2024-12-04
TK-0000365,FL-057412,PA-002347,Economy,186.67,2025-02-04
TK-0000366,FL-075999,PA-023831,Business,827.92,2025-09-18
TK-0000367,FL-033388,PA-011159,Economy,746.5,2024-09-04
TK-0000368,FL-035273,PA-022934,Economy,488.72,2025-11-30
TK-0000369,FL-001713,PA-000161,Business,1500.0,2025-02-22
TK-0000370,FL-061176,PA-024789,Economy,508.89,2025-12-06
TK-0000371,FL-058338,PA-004128,Economy,208.66,2024-08-27
TK-0000372,FL-056653,PA-017852,Economy,769.22,2024-02-18
TK-0000373,FL-081920,PA-006100,Economy,154.27,2025-06-25
TK-0000374,FL-040599,PA-021953,Business,2123.94,2025-11-01
TK-0000375,FL-066997,PA-003190,Economy,693.15,2024-02-23
TK-0000376,FL-074861,PA-021776,Economy,89.18,2025-05-28
TK-0000377,FL-004842,PA-014169,Economy,285.67,2024-11-05
TK-0000378,FL-089939,PA-016217,Economy,481.26,2025-05-17
TK-0000379,FL-074621,PA-000131,Economy,302.31,2024-01-19
TK-0000380,FL-084148,PA-019755,Economy,742.7,2024-10-28
TK-0000381,FL-031223,PA-016245,Business,1290.07,2025-06-01
TK-0000382,FL-056489,PA-017251,Economy,438.38,2025-04-21
TK-0000383,FL-033531,PA-005172,Economy,100.3,2025-05-18
TK-0000384,FL-078823,PA-004656,Economy,323.61,2024-10-31
TK-0000385,FL-013199,PA-006104,Economy,392.17,2025-03-24
TK-0000386,FL-076472,PA-012915,Economy,531.39,2023-11-21
TK-0000387,FL-086630,PA-019388,Economy,786.02,2025-01-12
TK-0000388,FL-064441,PA-016513,First,2172.09,2025-09-21
TK-0000389,FL-002319,PA-003231,Economy,414.29,2024-12-04
TK-0000390,FL-005635,PA-013159,Economy,577.83,2025-10-03
TK-0000391,FL-086829,PA-019850,Economy,294.78,2024-04-30
TK-0000392,FL-097208,PA-023719,Economy,654.31,2024-07-02
TK-0000393,FL-054463,PA-011991,First,3268.36,2024-10-13
TK-0000394,FL-057191,PA-000352,Economy,183.24,2024-02-01
TK-0000395,FL-038385,PA-013878,Economy,690.68,2025-07-28
TK-0000396,FL-020405,PA-024021,Economy,356.08,2025-11-26
TK-0000397,FL-066510,PA-005681,Business,2299.98,2024-08-26
TK-0000398,FL-061430,PA-011347,Economy,313.21,2025-06-10
TK-0000399,FL-006794,PA-001495,Economy,283.67,2025-07-06
TK-0000400,FL-052470,PA-013042,Economy,530.39,2025-03-18
TK-0000401,FL-066453,PA-015288,Economy,610.05,2025-06-01
TK-0000402,FL-025058,PA-021969,Economy,808.13,2023-11-24
TK-0000403,FL-028572,PA-018221,Business,1126.56,2025-02-23
TK-0000404,FL-069898,PA-002496,Economy,876.72,2025-07-20
TK-0000405,FL-019520,PA-004454,Economy,834.13,2024-04-25
TK-0000406,FL-036359,PA-021065,Economy,832.63,2025-05-16
TK-0000407,FL-097074,PA-002358,Economy,257.43,2025-05-06
TK-0000408,FL-081021,PA-010871,Business,1701.6,2025-08-02
TK-0000409,FL-080920,PA-000062,Economy,782.77,2024-07-17
TK-0000410,FL-042464,PA-009616,Economy,357.21,2025-08-08
